Index,Symbol,Action Type,Order Type,Total Qty.,Qty. Filled,Qty. Remaining,Price,Stop Price,Limit Price,Created Date/Time (E),Update Date/Time (E)
102,RXST,Buy,Market,110,110,0,48.1,0,0,2/1/2024 10:35,2/1/2024 10:36
103,RXST,Sell,Stop,110,110,0,46.44,46.44,0,2/1/2024 10:36,2/2/2024 11:37
105,NKTX,Buy,Market,548,548,0,9.7,0,0,2/1/2024 11:12,2/1/2024 11:13
108,NTRA,Buy,Market,79,79,0,67.22,0,0,2/1/2024 11:37,2/1/2024 11:38
109,NTRA,Sell,Stop,79,79,0,64.93,64.93,0,2/1/2024 11:38,2/2/2024 9:51
111,FSLY,Buy,Market,250,250,0,21.48,0,0,2/2/2024 11:39,2/2/2024 11:40
113,FSLY,Sell,Limit,125,125,0,24.44,0,24.44,2/2/2024 11:40,2/9/2024 9:32
112,FSLY,Sell,Stop,125,125,0,18.07,20.49,0,2/2/2024 11:40,2/15/2024 9:31
114,SANA,Buy,Market,901,901,0,6,0,0,2/5/2024 15:40,2/5/2024 15:41
116,SANA,Sell,Limit,450,450,0,7.35,0,7.35,2/5/2024 15:41,2/14/2024 13:07
117,NKTX,Sell,Market,548,548,0,8.96,0,0,2/6/2024 9:31,2/6/2024 9:32
118,ARCT,Buy,Market,152,152,0,35.68,0,0,2/6/2024 9:46,2/6/2024 9:47
121,PRAX,Buy,Market,119,119,0,45.26,0,0,2/6/2024 13:49,2/6/2024 13:50
124,GTLB,Sell,Market,73,73,0,71.51,0,0,2/7/2024 9:31,2/7/2024 9:32
125,PTGX,Sell,Market,102,102,0,25.68,0,0,2/7/2024 9:31,2/7/2024 9:32
126,S,Buy,Market,189,189,0,28.62,0,0,2/7/2024 9:33,2/7/2024 9:34
127,S,Sell,Stop,189,189,0,27.35,27.35,0,2/7/2024 9:34,2/13/2024 9:31
129,LQDA,Buy,Market,388,388,0,13.81,0,0,2/7/2024 9:55,2/7/2024 9:56
130,LQDA,Sell,Stop,388,388,0,13,13,0,2/7/2024 9:56,2/20/2024 10:08
132,TMDX,Buy,Market,60,60,0,89.1,0,0,2/7/2024 10:29,2/7/2024 10:31
135,IOVA,Buy,Market,653,653,0,8.3,0,0,2/7/2024 10:31,2/7/2024 10:32
133,TMDX,Sell,Stop,60,60,0,85.92,85.92,0,2/7/2024 10:31,2/8/2024 9:32
137,IOVA,Sell,Limit,326,326,0,9.93,0,9.93,2/7/2024 10:32,2/12/2024 10:29
138,ZJYL,Sell,Market,371,371,0,14.1,0,0,2/8/2024 9:31,2/8/2024 9:32
139,VKTX,Buy,Market,209,209,0,26.86,0,0,2/8/2024 9:34,2/8/2024 9:35
141,VKTX,Sell,Limit,104,104,0,32.16,0,32.16,2/8/2024 9:35,2/14/2024 10:17
142,ARDX,Buy,Market,589,589,0,9.48,0,0,2/8/2024 9:40,2/8/2024 9:41
143,ARDX,Sell,Stop,589,589,0,8.99,8.99,0,2/8/2024 9:41,2/13/2024 14:17
145,GTLB,Buy,Market,74,74,0,74.98,0,0,2/8/2024 9:49,2/8/2024 9:50
146,GTLB,Sell,Stop,74,74,0,69.89,71.78,0,2/8/2024 9:50,2/13/2024 9:31
148,VSCO,Buy,Market,204,204,0,27.26,0,0,2/8/2024 9:51,2/8/2024 9:52
151,MOD,Buy,Market,79,79,0,71.1,0,0,2/8/2024 10:12,2/8/2024 10:13
153,MOD,Sell,Limit,40,40,0,82.03,0,82.03,2/8/2024 10:13,2/22/2024 12:55
154,NKTX,Buy,Market,534,534,0,10.6,0,0,2/8/2024 10:18,2/8/2024 10:19
157,RXST,Buy,Market,115,115,0,49.01,0,0,2/8/2024 13:45,2/8/2024 13:47
159,RXST,Sell,Limit,58,58,0,55.12,0,55.12,2/8/2024 13:47,2/16/2024 9:34
160,ACLX,Sell,Market,43,43,0,61.9,0,0,2/9/2024 9:31,2/9/2024 9:35
161,TNGX,Sell,Market,439,439,0,11.89,0,0,2/9/2024 9:31,2/9/2024 9:36
162,RNA,Buy,Market,451,451,0,12.75,0,0,2/9/2024 9:37,2/9/2024 9:38
164,RNA,Sell,Limit,226,226,0,15.73,0,15.73,2/9/2024 9:38,2/28/2024 9:43
165,VERA,Buy,Market,144,144,0,39.73,0,0,2/9/2024 9:41,2/9/2024 9:42
168,TWST,Buy,Market,152,152,0,37.84,0,0,2/9/2024 9:44,2/9/2024 9:45
169,TWST,Sell,Stop,152,152,0,35.43,35.43,0,2/9/2024 9:45,2/13/2024 10:14
171,STNE,Buy,Market,302,302,0,19.1,0,0,2/9/2024 9:48,2/9/2024 9:49
172,STNE,Sell,Stop,302,302,0,18.42,18.42,0,2/9/2024 9:49,2/9/2024 11:07
174,AAOI,Buy,Market,274,274,0,21.75,0,0,2/12/2024 10:11,2/12/2024 10:12
175,AAOI,Sell,Stop,274,274,0,19.8,19.8,0,2/12/2024 10:12,2/13/2024 9:31
177,TRML,Buy,Market,149,149,0,38.26,0,0,2/13/2024 11:18,2/13/2024 11:19
180,PRAX,Sell,Market,119,119,0,42,0,0,2/14/2024 9:31,2/14/2024 9:36
181,KROS,Buy,Market,99,99,0,58.26,0,0,2/14/2024 9:36,2/14/2024 9:37
183,KROS,Sell,Limit,50,50,0,69.28,0,69.28,2/14/2024 9:37,2/27/2024 11:43
184,NXT,Buy,Market,95,95,0,60.23,0,0,2/14/2024 9:44,2/14/2024 9:45
185,NXT,Sell,Stop,95,95,0,57.44,57.44,0,2/14/2024 9:45,2/21/2024 9:31
187,EYPT,Sell,Market,107,107,0,29.3,0,0,2/15/2024 9:31,2/15/2024 9:32
188,NKTX,Sell,Market,534,534,0,10.29,0,0,2/15/2024 9:31,2/15/2024 9:32
189,FATE,Buy,Market,838,838,0,6.96,0,0,2/15/2024 10:16,2/15/2024 10:17
192,ARCT,Sell,Market,152,152,0,36.31,0,0,2/20/2024 9:31,2/20/2024 9:32
193,KURA,Buy,Market,281,281,0,21.13,0,0,2/20/2024 9:33,2/20/2024 9:34
194,KURA,Sell,Stop,281,281,0,20.32,20.32,0,2/20/2024 9:34,2/20/2024 11:15
196,EOLS,Sell,Market,402,402,0,13.16,0,0,2/21/2024 9:31,2/21/2024 9:32
197,RYTM,Sell,Market,59,59,0,48.58,0,0,2/21/2024 9:31,2/21/2024 9:32
198,TRML,Sell,Market,149,149,0,36.97,0,0,2/21/2024 9:31,2/21/2024 9:40
199,CRBP,Buy,Market,232,232,0,25.3,0,0,2/21/2024 9:37,2/21/2024 9:38
201,CRBP,Sell,Limit,116,116,0,32.83,0,32.83,2/21/2024 9:38,3/1/2024 13:38
202,ARVN,Sell,Market,65,65,0,48.52,0,0,2/22/2024 9:31,2/22/2024 9:32
203,VSCO,Sell,Market,204,204,0,28.69,0,0,2/22/2024 9:31,2/22/2024 9:32
204,RXRX,Buy,Market,440,440,0,13.42,0,0,2/22/2024 9:37,2/22/2024 9:38
207,ADVM,Buy,Market,269,269,0,22.3,0,0,2/22/2024 12:04,2/22/2024 12:05
210,OSCR,Sell,Market,219,219,0,15.94,0,0,2/23/2024 9:31,2/23/2024 9:32
211,TARS,Buy,Market,186,186,0,31.91,0,0,2/23/2024 10:27,2/23/2024 10:28
212,TARS,Sell,Stop,186,186,0,30.55,30.55,0,2/23/2024 10:28,2/26/2024 9:31
214,POWL,Buy,Market,37,37,0,159.35,0,0,2/23/2024 12:00,2/23/2024 12:01
216,POWL,Sell,Limit,18,18,0,183.23,0,183.23,2/23/2024 12:01,2/29/2024 13:02
217,COIN,Buy,Market,34,34,0,172.79,0,0,2/26/2024 9:33,2/26/2024 9:34
219,COIN,Sell,Limit,17,17,0,205.28,0,205.28,2/26/2024 9:34,2/27/2024 9:31
220,KURA,Buy,Market,286,286,0,20.79,0,0,2/26/2024 9:35,2/26/2024 9:36
222,KURA,Sell,Limit,143,143,0,23.92,0,23.92,2/26/2024 9:36,3/11/2024 9:40
223,APP,Buy,Market,100,100,0,59.29,0,0,2/26/2024 9:39,2/26/2024 9:40
226,TARS,Buy,Market,185,185,0,32.56,0,0,2/26/2024 11:14,2/26/2024 11:15
228,TARS,Sell,Limit,92,92,0,36.48,0,36.48,2/26/2024 11:15,2/27/2024 9:31
229,ADVM,Sell,Market,269,269,0,19.35,0,0,2/27/2024 9:31,2/27/2024 9:32
230,PLTR,Buy,Market,265,265,0,24.25,0,0,2/27/2024 9:33,2/27/2024 9:34
233,GCT,Buy,Market,176,176,0,35.81,0,0,2/27/2024 10:16,2/27/2024 10:17
236,CRSP,Buy,Market,72,72,0,88.37,0,0,2/27/2024 12:16,2/27/2024 12:17
239,TREE,Buy,Market,185,185,0,35.54,0,0,2/28/2024 9:43,2/28/2024 9:44
242,CGEM,Buy,Market,354,354,0,18.52,0,0,2/28/2024 9:44,2/28/2024 9:45
241,TREE,Sell,Limit,92,92,0,41.94,0,41.94,2/28/2024 9:44,3/8/2024 9:50
243,CGEM,Sell,Stop,354,354,0,17.64,17.64,0,2/28/2024 9:45,3/5/2024 10:36
245,RXRX,Sell,Market,440,440,0,13.3,0,0,2/29/2024 9:31,2/29/2024 9:32
246,VERA,Sell,Market,144,144,0,48,0,0,2/29/2024 9:31,2/29/2024 9:33
247,MGNX,Buy,Market,350,350,0,18.54,0,0,2/29/2024 13:28,2/29/2024 13:29
248,MGNX,Sell,Stop,350,350,0,17.27,17.27,0,2/29/2024 13:29,3/8/2024 13:16
250,CRSP,Sell,Market,72,72,0,84.22,0,0,3/1/2024 9:31,3/1/2024 9:32
251,FATE,Sell,Market,838,838,0,7.28,0,0,3/1/2024 9:31,3/1/2024 9:32
252,RXST,Sell,Market,57,57,0,55.7,0,0,3/1/2024 9:31,3/1/2024 9:32
253,ARVN,Buy,Market,134,134,0,49.6,0,0,3/1/2024 9:52,3/1/2024 9:53
254,ARVN,Sell,Stop,134,134,0,46.77,46.77,0,3/1/2024 9:53,3/4/2024 9:34
256,BHVN,Buy,Market,133,133,0,49.83,0,0,3/1/2024 10:06,3/1/2024 10:07
258,BHVN,Sell,Limit,66,66,0,57.5,0,57.5,3/1/2024 10:07,3/4/2024 12:22
