Index,Symbol,Direction,Entry Price,Entry Date/Time (E),Exit Date/Time (E),Status,Current Price,Exit Price,Entry Qty,Qty,SL,TP,Exit Qty,Change,Change %,Ticks/Pips,Account PnL,PnL,PnL %,MFE,MAE
315,UPST,Long,54.14,11/6/2024 15:23,12/3/2024 9:32,Closed,0,66.74,182,0,0,0,182,14.08,26.01,1408,2294.11,2294.11,23.28,31.93,-0.73
316,LUNR,Long,8.58,11/7/2024 9:34,12/4/2024 9:32,Closed,0,10.94,1158,0,0,0,1158,2.94,34.27,294,2727.09,2727.09,27.45,8.56,-0.19
317,XPEV,Long,13.63,11/7/2024 9:39,11/14/2024 9:32,Closed,0,12.9,726,0,0,0,726,-0.73,-5.36,-73,-529.98,-529.98,-5.36,2.05,-0.73
318,GDS,Long,22.96,11/7/2024 9:40,11/15/2024 9:32,Closed,0,22.4,433,0,0,0,433,-0.56,-2.44,-56,-242.48,-242.48,-2.44,1.78,-0.86
319,ADMA,Long,21.02,11/8/2024 9:34,11/15/2024 9:32,Closed,0,20.24,486,0,0,0,486,-0.78,-3.71,-78,-379.08,-379.08,-3.71,2.62,-0.84
320,PRCT,Long,102.61,11/11/2024 9:34,11/11/2024 15:01,Closed,0,95.87,106,0,0,0,106,-6.74,-6.57,-674,-714.44,-714.44,-6.57,1.2,-6.74
321,AFRM,Long,51.91,11/11/2024 10:15,12/6/2024 9:32,Closed,0,65.05,207,0,0,0,207,16.61,32,1661,2719.63,2719.63,25.31,20.91,-0.26
322,RELY,Long,20.1,11/13/2024 9:45,12/4/2024 9:32,Closed,0,20.6,551,0,0,0,551,0.5,2.49,50,275.5,275.5,2.49,1.19,-0.85
323,MNMD,Long,9.85,11/15/2024 9:34,11/15/2024 9:42,Closed,0,8.98,1075,0,0,0,1075,-0.87,-8.83,-87,-935.25,-935.25,-8.83,0,-0.87
324,RDW,Long,10.86,11/18/2024 9:38,12/10/2024 9:32,Closed,0,12.89,993,0,0,0,993,1.35,12.43,135,2020.07,2020.07,18.73,4.39,-0.44
325,LMND,Long,35.53,11/19/2024 9:34,12/3/2024 9:32,Closed,0,44.94,304,0,0,0,304,9.89,27.84,989,2859.12,2859.12,26.47,18.32,-0.01
326,BYRN,Long,19.96,11/19/2024 9:39,11/20/2024 9:54,Closed,0,18.66,542,0,0,0,542,-1.3,-6.51,-130,-704.6,-704.6,-6.51,1.66,-1.3
327,RDDT,Long,135.15,11/19/2024 12:45,11/27/2024 9:32,Closed,0,138.03,82,0,0,0,82,2.88,2.13,288,236.16,236.16,2.13,23.34,-5.14
328,AAOI,Long,30.89,11/20/2024 9:34,12/6/2024 9:32,Closed,0,39.4,361,0,0,0,361,6.5,21.04,650,3073.7,3073.7,27.56,13.61,-0.09
329,XMTR,Long,30.88,11/21/2024 11:22,12/6/2024 9:32,Closed,0,32.07,367,0,0,0,367,1.19,3.85,119,436.73,436.73,3.85,2.24,-0.38
330,WWW,Long,22.89,11/21/2024 12:08,12/6/2024 9:32,Closed,0,23.09,500,0,0,0,500,0.2,0.87,20,100,100,0.87,1.27,-0.22
331,CXW,Long,22.66,11/22/2024 9:34,12/2/2024 9:44,Closed,0,21.37,503,0,0,0,503,-1.29,-5.69,-129,-648.87,-648.87,-5.69,0.66,-1.29
332,TSL,Long,15.23,11/22/2024 10:41,11/27/2024 10:30,Closed,0,14.17,753,0,0,0,753,-1.06,-6.96,-106,-798.18,-798.18,-6.96,0.66,-1.06
333,DAVE,Long,87.72,11/22/2024 11:27,12/5/2024 9:32,Closed,0,88.6,132,0,0,0,132,0.88,1,88,116.16,116.16,1,16,-7.49
