Date,Symbol,ROC130,ADRP20
20220909,TH,243.04,8.07
20220909,VERU,205.89,13.9
20220909,TMDX,191.75,6.28
20220909,COGT,185.86,6.74
20220909,DCPH,163.17,5.75
20220909,PLRX,157.59,6.31
20220909,TRMD,153.17,4.43
20220909,RYTM,144.49,11.1
20220909,STNG,137.54,4.78
20220909,EDU,128.63,5.02
20220909,SGML,122.66,7.4
20220909,ASC,119.87,4.81
20220909,ARRY,119.1,7.96
20220909,TAL,117.74,6.58
20220909,CELH,116.76,6.23
20220909,PRCT,115.26,5.75
20220909,AXSM,115.15,6.69
20220909,STKL,110.38,3.84
20220909,DAWN,108.83,5.71
20220909,MAXN,105.9,8.48
20220909,SIGA,105.79,7.72
20220909,NERV,103.75,22.96
20220909,HDSN,98.51,5.19
20220909,STEM,97.35,7.6
20220909,IMCR,92.72,7.43
20220909,ENPH,92.49,4.78
20220909,CEIX,91.95,5.3
20220909,CPRX,91.57,5.58
20220909,RVNC,90.82,6.11
20220909,FLNC,89.85,7.9
20220909,CRK,89.7,5.63
20220909,SHLS,88.24,6.88
20220909,MRSN,87.95,6.3
20220909,ALLO,87.91,5.93
20220909,RXRX,87.17,8.06
20220909,GTHX,87.06,6.88
20220909,CVI,85.04,4.53
20220909,TNK,84.4,4.16
20220909,MNTK,84.31,6.65
20220909,CLFD,83.34,4.76
20220909,EQT,82.32,4.82
20220909,DGII,81.59,4.14
20220909,FSLR,81.09,4.22
20220909,PDD,80.68,6.62
20220909,ESPR,78.88,6.18
20220909,NFE,78.04,4.22
20220909,VTYX,75.93,8.97
20220909,ALHC,75.85,4.4
20220909,SWAV,75.26,4.56
20220909,INSW,74.8,3.73
20220909,ALB,74.54,3.85
20220909,PRVA,71.67,5.78
20220909,YPF,70.83,7.03
20220909,ASTS,70.79,10.19
20220909,ARLP,70.52,4.76
20220909,PBF,68.65,4.71
20220909,INVZ,68.62,5.77
20220909,ASO,65.48,3.75
20220909,SMCI,65.38,4.9
20220909,LNTH,64.28,3.77
20220909,COMM,64.17,4.71
20220909,DK,64.17,4.28
20220909,BCAB,63.28,12.69
20220909,PI,62.79,3.71
20220909,SPWR,61.67,4.96
20220909,BFLY,60.7,9.12
20220909,BLUE,60.45,10.84
20220909,ENVX,59.55,10.87
20220909,PTCT,58.75,4.27
20220909,APLS,58.21,5.51
20220909,FLNG,56.6,3.54
20220909,DCGO,55.23,4.52
20220909,GLNG,54.97,4.27
20220909,HIMS,54.27,5.13
20220909,SQM,54.18,5.22
20220909,DBI,54.08,4
20220909,HIBB,54.05,4.73
20220909,SJT,53.78,5
20220909,GEO,53.27,6.15
20220909,AR,52.69,4.65
20220909,HOLI,52.35,4.61
20220909,PAYO,51.94,5.32
20220909,FREY,51.7,7.29
20220909,RLMD,51.5,5.99
20220909,SNDX,49.18,4.18
20220909,UDMY,48.7,5.16
20220909,CYTK,48.03,5.19
20220909,FUTU,46.85,6.3
20220909,AMPS,46.5,6.05
20220909,FOLD,44.74,4.23
20220909,VERV,43.57,8.1
20220909,GOSS,43.43,5.76
20220909,CAL,43.39,5.54
20220909,VIPS,43.32,5.28
20220909,RGEN,42.72,3.63
20220909,PCT,42.24,5.9
20220909,AXNX,41.83,3.81
20220909,TPL,41.66,4.13
20220909,VTNR,40.84,6.18
20220909,BPMC,40.61,5.88
