Date,Symbol,ROC65,ADRP20
20170623,NVCR,147.83,5.23
20170623,SGMO,132.5,7.05
20170623,GLYC,132.41,8.4
20170623,OMER,127.93,6.64
20170623,WTW,125.83,4.04
20170623,WW,125.83,4.04
20170623,PTCT,111.57,5.03
20170623,PBYI,110.59,5.44
20170623,PI,109.14,6.65
20170623,CONN,108.54,5.92
20170623,W,98.76,4.03
20170623,AKBA,79.08,4.2
20170623,MDXG,77.31,3.8
20170623,EXAS,74.07,4.46
20170623,DVAX,71.55,6.75
20170623,IRBT,68.02,3.82
20170623,AXON,67.74,5.8
20170623,EVRI,60.91,4.76
20170623,BZUN,60.85,5.84
20170623,RH,60.33,4.85
20170623,ALNY,60.02,4.52
20170623,EXTR,58.85,4.12
20170623,DDD,58.68,4.17
20170623,SUPN,55.18,3.99
20170623,CAMT,53.72,8.81
20170623,TCMD,51.85,5.41
20170623,OPCH,51.41,6.91
20170623,ACLS,50.96,4.6
20170623,TDOC,50.63,5.69
20170623,SPWR,48.15,4.8
20170623,WB,47.96,4.64
20170623,FOLD,47.67,5.29
20170623,BHC,47.66,5.03
20170623,SQ,47.29,3.58
20170623,SSYS,46.94,3.57
20170623,NVMI,46.93,4.33
20170623,MOD,44.64,3.81
20170623,OLED,42.97,3.71
20170623,NVDA,42.34,4.1
20170623,ATHM,42.05,3.57
20170623,SHOP,41.68,4.36
20170623,CARA,40.77,5.95
20170623,BB,37.93,4.02
20170623,FSLR,37.65,3.61
20170623,MYGN,37.59,3.57
20170623,UCTT,37.05,5.58
20170623,RVNC,36.43,4.13
20170623,IAG,36.32,4.59
20170623,RUN,35.54,4.32
20170623,HTHT,35.34,4.4
20170623,NOVT,33.71,3.63
20170623,PSTG,33.17,3.96
20170623,CZR,33.16,3.61
20170623,EVH,32.84,4.41
20170623,LNTH,32.2,4.39
20170623,PGEN,32.15,4.58
20170623,CSIQ,31.94,4.79
20170623,JKS,31.54,5.42
20170623,AMPH,30.81,3.63
20170623,VEEV,30.27,4.05
