Date,Symbol,ROC130,ADRP20
20191213,KOD,468.04,14.62
20191213,DCPH,207.03,4.48
20191213,KPTI,201.26,5.54
20191213,AUPH,200.98,8.82
20191213,ALLK,200.9,7.44
20191213,ARDX,167.18,8.85
20191213,EVER,165.49,6.84
20191213,SVM,149.32,4.13
20191213,ARWR,146.24,7.81
20191213,TNK,146.17,6
20191213,RH,134.82,3.99
20191213,CDE,132.27,4.32
20191213,CDLX,127.14,5.44
20191213,SPWH,126.76,4.06
20191213,ARVN,126.72,5.3
20191213,AXSM,124.41,7.17
20191213,INFN,122.76,3.55
20191213,ZYME,101.73,5.08
20191213,OMI,96.79,6.46
20191213,WW,89.14,4.51
20191213,DVAX,86.02,7.09
20191213,PLAB,85.13,3.82
20191213,PDD,81.85,5.21
20191213,COLL,78.3,4.31
20191213,VIPS,76.1,3.71
20191213,EGO,76.06,3.96
20191213,ACAD,73.07,4.36
20191213,ALNY,68.39,4.26
20191213,APPS,66.82,5.18
20191213,UCTT,66.79,4
20191213,AUDC,61.9,3.99
20191213,WVE,58.52,6.74
20191213,SEDG,58.19,4.53
20191213,HOUS,54.79,4.58
20191213,AKBA,53.61,10.48
20191213,NTRA,51.16,4.78
20191213,BLDP,50.84,4.43
20191213,CRSP,50.18,6.66
20191213,OPCH,50,4.72
20191213,CVNA,49.95,4.01
20191213,HRTX,49.18,3.55
20191213,RVNC,48.06,4.54
20191213,NVCR,47.41,3.81
20191213,ENPH,44.23,6.5
20191213,ZUMZ,44.06,3.84
20191213,STNE,41.75,5
20191213,TGTX,41.46,7.32
20191213,BOOT,40.74,3.76
20191213,YMAB,40.51,4.93
20191213,EDIT,38.75,5.01
20191213,IOVA,38.09,5.24
20191213,SCVL,37.27,4.08
20191213,RCKT,36.26,7.37
20191213,EHTH,36.14,3.65
20191213,GOSS,35.74,5.28
20191213,STNG,35.7,3.92
20191213,GES,35.4,3.78
20191213,SBLK,35.27,3.99
20191213,TBPH,35.23,4.02
20191213,APLS,35.09,5.81
20191213,LNW,34.31,3.5
20191213,AMRN,34.22,5.32
20191213,CENX,33.39,3.77
20191213,GTHX,33.05,6.18
20191213,APPN,32.88,3.75
20191213,ROKU,32.23,5.2
