Date,Symbol,ROC130,ADRP20
20230519,VKTX,458.88,6.83
20230519,APLD,308.1,11.71
20230519,MDGL,299.03,4.85
20230519,BMEA,276.04,7.39
20230519,TNYA,260.78,13.73
20230519,TGTX,255.28,7.17
20230519,MLTX,232.33,8.87
20230519,PTGX,205.39,5.09
20230519,OPRA,192.58,7.45
20230519,GSIT,185.71,16.15
20230519,OSCR,171.32,6.66
20230519,SYM,168.3,8.92
20230519,ASRT,160.71,7.52
20230519,BLBD,154.95,6.19
20230519,VYGR,152.3,7.71
20230519,ARLO,149.33,5.08
20230519,COCO,141.78,4.4
20230519,RDFN,139.44,7.75
20230519,MNSO,137.96,5.56
20230519,AVDL,130,7.31
20230519,RCM,127.84,3.75
20230519,IAS,121.57,4.3
20230519,GRBK,115.46,3.83
20230519,IOT,113.88,4.56
20230519,OCUL,113.2,5.12
20230519,ACVA,110.83,4.95
20230519,SHC,110.04,3.78
20230519,RIOT,104.43,8.62
20230519,SMCI,103.41,5.73
20230519,TME,101.81,4.64
20230519,AUPH,100,5.24
20230519,ETNB,99.41,5.93
20230519,APLS,97.07,3.94
20230519,SIBN,96.26,4.88
20230519,NVTS,93.18,7.28
20230519,HROW,89.34,6.79
20230519,ACLS,88.64,4.89
20230519,RXST,88.63,5.4
20230519,MORF,88.52,6.7
20230519,FDMT,85.51,8.68
20230519,AI,85.2,7.45
20230519,INTA,84.19,4.85
20230519,RELY,84.07,3.79
20230519,ACLX,83.8,6.02
20230519,DRD,83.7,5.5
20230519,VIPS,82.35,4.47
20230519,ROIV,79.92,4.62
20230519,WW,79.91,10.18
20230519,STVN,79.87,4.73
20230519,ALDX,79.09,4.58
20230519,MNDY,78.76,4.77
20230519,TGLS,78.23,5.11
20230519,NEO,77.48,5.6
20230519,DUOL,77.4,4.87
20230519,DKNG,76.76,4.35
20230519,RDNT,76.56,3.99
20230519,MLCO,74.58,4.2
20230519,MOMO,72.97,4.68
20230519,BTAI,70.98,7.29
20230519,MDB,70.92,4.19
20230519,MRNS,70.59,6.31
20230519,GLBE,69.69,4.77
20230519,IMVT,69.14,5
20230519,BZH,68.56,4.98
20230519,LI,67.15,3.71
20230519,OKTA,66.8,3.53
20230519,SHOP,64.89,3.87
20230519,MSTR,64.73,6.21
20230519,VRNA,63.3,5
20230519,FTAI,62.04,3.54
20230519,LTH,61.9,4.29
20230519,QTRX,60.24,8.23
20230519,IONQ,59.71,7.06
20230519,SKYW,59.21,3.82
20230519,HIMS,58.86,5.15
20230519,RMBS,58.71,4.31
20230519,EVLV,57.71,7.02
20230519,LGF.A,56.08,4.2
20230519,ATEC,55.33,4.27
20230519,MAXN,55.1,7.54
20230519,AMPH,55.06,4.31
20230519,AMD,54.55,4.35
20230519,APP,54.3,4.55
20230519,PTCT,53.4,3.55
20230519,PLTR,53.27,5.29
20230519,SDGR,52.58,5.78
20230519,RPD,52.44,4.93
20230519,VIST,52.03,4.41
20230519,SAGE,51.25,4
20230519,SE,50.99,3.93
20230519,YPF,50.35,4.15
20230519,BORR,49.59,3.58
20230519,RIG,48.62,4.91
20230519,CELH,47.58,4.35
20230519,ONON,47.54,4.64
20230519,TXG,46.35,4.18
20230519,OMCL,45.27,3.55
20230519,VCEL,45.07,3.91
20230519,FOUR,44.7,4.35
20230519,SPRY,42.83,10.12
