Date,Symbol,ROC20,ADRP20
20210430,CGA,142.73,16.1
20210430,OCGN,89.1,14.63
20210430,CELC,87.53,8.48
20210430,VXRT,76.72,10.16
20210430,BNTX,65.35,5.49
20210430,NVCR,53.06,5.33
20210430,UXIN,52.79,17.37
20210430,GNK,49.95,4.63
20210430,CVM,46.51,9.96
20210430,LNW,45.97,5.35
20210430,WVVI,43.17,4.58
20210430,NMM,42.73,7.51
20210430,SID,40.06,3.77
20210430,RHE,39.65,17.58
20210430,AFMD,37.4,8.08
20210430,ZNTL,36.87,7.85
20210430,TV,36.49,4.88
20210430,BAK,36.34,3.99
20210430,MRNA,34.91,5.6
20210430,CLDX,32.97,6.94
