Date,Symbol,ROC130,ADRP20
20220715,META,1065.61,3.91
20220715,RDUS,405.72,6.61
20220715,TH,249.72,9.9
20220715,BPT,248.54,10.45
20220715,VERU,215.57,10.15
20220715,STNG,166.79,7.04
20220715,LNTH,162.74,6.19
20220715,CEIX,142.43,8.37
20220715,VTNR,116.29,8.73
20220715,SIGA,112.8,10.61
20220715,AMR,104.88,6.89
20220715,ASC,99.72,6.13
20220715,SYM,93.29,17.68
20220715,TMDX,92.17,6.87
20220715,HDSN,88.51,7
20220715,BTU,84.61,7.71
20220715,AR,77.28,7.57
20220715,OXY,76.78,4.51
20220715,AMPY,75.07,7.43
20220715,SQM,70.26,5.16
20220715,PBF,68.65,7.52
20220715,DQ,66.72,7.74
20220715,NFE,66.56,5.4
20220715,EQT,60.54,6.38
20220715,GLNG,58.49,5.26
20220715,SJT,55.98,7.85
20220715,TDW,55.53,5.43
20220715,PRVA,55.42,6.5
20220715,PRCT,54.93,7.76
20220715,PLRX,53.5,11
20220715,ARCH,52.9,6.47
20220715,CVI,51.45,7.01
20220715,ARLP,51.31,4.86
20220715,IMCR,50.43,7.78
20220715,CELH,48.13,6.95
20220715,AMPH,47.66,4.2
20220715,SD,46.28,7.33
20220715,CRK,45.97,7.37
20220715,RRC,44.36,6.84
20220715,VET,43.95,7.21
20220715,CORT,43.75,4.54
20220715,JKS,42.15,6.73
20220715,HRMY,41.33,5.42
20220715,IRTC,41.07,6.14
20220715,HP,39.92,5.38
20220715,EVH,39.2,5.58
20220715,KURA,39.18,6.74
20220715,OLLI,37.98,4.5
20220715,STKL,36.87,5.21
20220715,DK,35.92,6.74
20220715,EURN,35.78,4.1
20220715,ENPH,34.3,7.32
20220715,INSW,33.6,5.37
20220715,IMXI,32.84,4.45
20220715,AXSM,32.76,8.46
20220715,LRN,32.36,3.94
20220715,MRC,32.33,5.68
20220715,BOWL,32.33,5.46
20220715,TPL,32.27,4.62
20220715,PTEN,31.95,6.17
20220715,HALO,31.83,3.7
20220715,LI,31.77,5
20220715,DINO,31.23,4.82
20220715,CPRX,30.64,5.01
