Date,Symbol,ROC20,ADRP20
20201218,CRIS,499.22,15.24
20201218,VERU,206.62,13.47
20201218,MARA,201.29,15.56
20201218,ARVN,195.16,8.56
20201218,MVIS,163.02,10.55
20201218,SLS,136.27,19.1
20201218,EDIT,129.79,8.51
20201218,SLDB,122.49,10.84
20201218,CAAS,118.1,16.44
20201218,AQB,109.59,13.52
20201218,VUZI,108.79,9.09
20201218,BCRX,106.47,7.59
20201218,CLRB,99.12,12.22
20201218,VANI,98.28,14.67
20201218,BLNK,98.15,15.26
20201218,FRSX,92.35,15.53
20201218,LQDT,91.89,8.15
20201218,SFIX,89.88,6.41
20201218,GTEC,89.38,12.83
20201218,MACK,87.83,10
20201218,FATE,87.63,7.13
20201218,DOMO,85.24,6.14
20201218,TGTX,81.42,8.14
20201218,RDFN,76.89,4.95
20201218,EH,76,11.49
20201218,JMIA,75.44,14.43
20201218,CLSK,73.56,10.76
20201218,FCEL,73.51,16.09
20201218,COCP,73.03,14.67
20201218,CLNE,71.87,11.2
20201218,NTLA,71.76,7.92
20201218,NOG,69,8.9
20201218,EXPI,68.73,7.1
20201218,SM,68.51,9.91
20201218,EGHT,67.73,5.4
20201218,KIRK,67.53,10.51
20201218,RIOT,67.5,13.52
20201218,ARCT,67.27,12.61
20201218,SLCA,65.88,9.58
20201218,PERI,65.08,7.39
20201218,IDEX,65,17.34
20201218,WPRT,64.72,9.52
20201218,ENG,63.46,18.82
20201218,GTHX,61.06,7.73
20201218,PASG,59.12,7.46
20201218,ARLO,58.79,11.12
20201218,PGEN,56.84,10.94
20201218,CMMB,56.58,15.31
20201218,INFN,56.28,4.91
20201218,VERI,56.25,15.36
20201218,OCUL,55.97,7.27
20201218,SID,55.79,3.89
20201218,KXIN,55.15,17.87
20201218,DM,54.86,13.57
20201218,RCKT,54.64,8.72
20201218,RVLV,53.97,5.97
20201218,CARG,53.21,4.22
20201218,APPS,53.01,7.3
20201218,ONCT,52.96,12.08
20201218,SSYS,52.38,5.7
20201218,INSG,51.74,6.56
20201218,CLF,51.63,6.03
20201218,MRNA,51.16,9.16
20201218,SOL,50.46,16.5
20201218,PD,50.1,5.47
20201218,CHWY,50.07,5.44
20201218,VSTM,49.66,7.69
20201218,MTC,49.06,14.43
20201218,RARE,48.95,4.96
20201218,BBIO,48.49,4.52
20201218,NURO,48.33,10.66
20201218,AMSC,47.82,6.17
20201218,MDB,47.73,5.03
20201218,TENB,46.22,4.63
20201218,NSTG,46.1,5.37
20201218,CHPT,45.71,12.49
20201218,DQ,45.36,9.01
20201218,MITK,45.19,4.92
20201218,BILI,44.85,5.71
20201218,NVAX,44.5,9.75
20201218,UMC,44.4,4.2
20201218,DDD,43.84,5.97
20201218,REAL,43.6,6.15
20201218,CTOS,42.03,7.03
20201218,ESTC,41.86,4.33
20201218,ETSY,41.83,4.85
20201218,CRWD,41.73,4.77
20201218,ZS,41.39,4.66
20201218,BIDU,41.19,3.81
20201218,GRPN,41.12,5.7
20201218,AEMD,40.82,9.82
20201218,MDXG,40.8,8.31
20201218,BE,40.25,10.57
20201218,LOVE,40.23,7.33
20201218,JWN,40.16,5.91
20201218,ARCH,39.39,6.55
20201218,BILL,39.32,4.55
20201218,TSLA,39.21,5.61
20201218,IGMS,39.1,12.43
20201218,AKTS,39.09,5.53
