Date,Symbol,ROC65,ADRP20
20240830,FFIE,767.24,23.52
20240830,ASTSW,566.16,23.81
20240830,GDC,526.8,28.48
20240830,LUCY,498.81,11.36
20240830,PSNL,318.46,15.52
20240830,LUMN,306.98,14.35
20240830,ASTS,250.72,15.2
20240830,CDNA,136.2,7.31
20240830,VRNA,127.67,6.82
20240830,HROW,125.4,6.03
20240830,NOVA,112.84,7.94
20240830,GDS,112.34,5.98
20240830,SOND,93.73,30.65
20240830,AXGN,92.53,5.04
20240830,LBPH,91.2,6.94
20240830,HRTG,89.76,8.1
20240830,CMPO,85.02,4.55
20240830,ADMA,81.26,4.9
20240830,YOU,79.93,4.54
20240830,MIRM,79.4,4.79
20240830,PHAT,75.37,6.74
20240830,UPST,71.93,8.83
20240830,TNGX,70.95,6.92
20240830,ZVRA,64.52,6.75
20240830,RNA,63.81,5.64
20240830,WGS,62.88,7.03
20240830,SWIM,61.92,8.05
20240830,ZETA,61.73,4.53
20240830,CLBT,60.19,4.21
20240830,NRIX,60,6.58
20240830,ANAB,59.11,6.2
20240830,AIRI,56.9,11.67
20240830,OCUL,54.74,5.54
20240830,PRM,54.08,4.5
20240830,TRUP,53.1,6.68
20240830,PTGX,52.36,4.14
20240830,VCYT,52.05,5.16
20240830,EVH,50.92,5.5
20240830,CVNA,50.65,5.23
20240830,KYMR,50.61,5.62
20240830,AFRM,50.36,6.11
20240830,BVS,50.22,7.1
20240830,SMMT,49.54,7.68
20240830,APLT,48.13,8.49
20240830,SPRY,46.17,8.28
20240830,EBS,45.79,16.87
20240830,GENI,45.42,5.05
20240830,PLTR,45.2,4.71
20240830,RDFN,45.03,8.94
20240830,DYN,44.57,4.91
20240830,AKRO,44.53,5.57
20240830,TGTX,44.11,5.9
20240830,RKLB,43.48,8.02
20240830,CRBP,42.94,8.25
20240830,AOSL,42.65,5.84
20240830,RUN,41.91,6.48
20240830,RKT,41.37,4.75
20240830,GCI,40.69,5.68
20240830,LTH,40.17,4.35
20240830,S,39.99,4.51
20240830,KVYO,38.96,4.66
20240830,INSM,38.91,4.16
20240830,ASTL,38.25,4.24
20240830,VMEO,37.89,4.05
20240830,VFC,37.12,4.72
20240830,INOD,36.93,9.79
20240830,COMP,36.8,5.9
20240830,COHR,36.61,4.42
20240830,PHR,35.89,4.47
20240830,CHWY,34.61,5.59
20240830,BCRX,34.52,4.77
20240830,COGT,34.08,6.32
20240830,MNKD,34.05,5.18
20240830,CRDO,33.91,5.56
20240830,RYTM,32.54,4.71
20240830,LITE,32.44,5.06
20240830,ACLX,32.19,4.77
20240830,DNLI,31.68,4.7
20240830,IOVA,31.31,6.81
20240830,GRFS,30.45,4.13
20240830,SAVA,30.32,14.73
20240830,CDMO,30.28,4.44
20240830,ARQT,30.14,7.37
