Date,Symbol,ROC65,ADRP20
20120330,TRX,122.08,5.9
20120330,LNG,76.03,4.37
20120330,SWBI,72.75,4.58
20120330,TEX,69.68,4.34
20120330,NXPI,68.63,3.63
20120330,EVRI,68.47,4.3
20120330,AMRN,67.7,8.41
20120330,CLNE,64.96,5.41
20120330,FRO,64.67,7.95
20120330,TNK,62.73,5.01
20120330,MITK,55.91,5.79
20120330,EGY,53.16,5.2
20120330,MTW,52.49,3.8
20120330,ODP,51.98,4.69
20120330,CX,51.54,3.77
20120330,BPOP,49.64,4.47
20120330,SNBR,47.16,3.75
20120330,PHM,46.28,4.13
20120330,SNV,43.36,3.83
20120330,ALLT,42.55,3.94
20120330,AROC,42.55,4.64
20120330,KBH,37.98,5.82
20120330,JEF,37.75,3.52
20120330,BZH,35.98,5.37
20120330,CIEN,34.58,3.7
20120330,KRO,33.51,3.67
20120330,HALO,32.78,3.76
20120330,MAS,31.28,3.94
20120330,SSSS,31.14,4.46
