Date,Symbol,ROC65,ADRP20
20130607,MNKD,178.36,6.86
20130607,TSLA,170.92,8.87
20130607,VNDA,162.86,8.44
20130607,ACAD,161.29,5.68
20130607,CSIQ,132.8,11.12
20130607,BYON,130.41,5.6
20130607,IMMR,124.72,5.21
20130607,INSM,112.48,7.4
20130607,FSLR,104.98,5.87
20130607,HIMX,79.47,6.96
20130607,BYD,76.43,4.7
20130607,NXST,76.16,4.59
20130607,ARCB,71.11,4.63
20130607,TCOM,69.06,3.98
20130607,VRTX,67.26,3.79
20130607,INFN,66.82,4.46
20130607,SPWR,60.55,7.41
20130607,CONN,59.43,4.18
20130607,KNDI,56.32,6.91
20130607,IRBT,54.78,4.12
20130607,PPC,52.76,4.08
20130607,SOHU,51.93,4.19
20130607,GME,50.66,4.72
20130607,REGN,47.52,4.33
20130607,INVA,46.21,4.7
20130607,AXL,46.11,3.64
20130607,BBY,45.92,3.55
20130607,RBBN,44.63,4.63
20130607,LGND,42.44,4.2
20130607,SBGI,42.24,4.13
20130607,DDD,38.45,6.08
20130607,GPRE,38.4,4.69
20130607,ALKS,38.06,5.26
20130607,LNW,32.27,3.68
20130607,WT,31.83,5.05
20130607,ILMN,31.46,3.55
20130607,CAL,31.06,3.64
20130607,GRPN,31.05,4.67
20130607,IONS,30.97,3.88
20130607,YELP,30.8,4.95
