Date,Symbol,ROC20,ADRP20
20211029,PHUN,364.89,26.8
20211029,MTBL,82.92,5.11
20211029,AEHR,79.52,10.89
20211029,BTBT,76.58,11.31
20211029,OCGN,69.63,12.05
20211029,NET,69.35,5.43
20211029,BE,69.25,6.25
20211029,LC,64.14,6.39
20211029,IONQ,63.48,11.28
20211029,CLSK,61.69,7.43
20211029,MGTX,61.53,6.47
20211029,PERI,58.06,6
20211029,MARA,57.49,7.27
20211029,TIPT,53.19,4.31
20211029,WOLF,51.69,4.7
20211029,AUPH,51.67,8.17
20211029,LCID,50.3,7.28
20211029,PLUG,49.67,5.55
20211029,ENPH,49.09,5.26
20211029,CDMO,45.47,3.69
20211029,CAR,42.19,5.48
20211029,SSYS,41.94,5.96
20211029,AFRM,37.89,7.71
20211029,ATEN,36.82,3.53
20211029,CMPS,36.57,5.12
20211029,SPWR,35.34,5.99
20211029,NOVA,34.62,5.62
20211029,DQ,34.33,5.73
20211029,LMFA,34.29,13.06
20211029,AMRC,33.68,3.76
20211029,ASAN,33.31,5.97
20211029,CDXS,33.01,6.58
20211029,METC,32.41,9.81
20211029,CERE,32.02,4.84
20211029,LAAC,31.24,6.4
20211029,SEDG,30.34,4.27
