Date,Symbol,ROC130,ADRP20
20151016,SRPT,105.97,8.1
20151016,SKX,92.46,4.14
20151016,EXEL,80.12,6.23
20151016,CENTA,78.75,4.36
20151016,LGIH,76.86,5.64
20151016,ITCI,75.2,10.14
20151016,ASPS,75.14,7.1
20151016,LXRX,73.94,7.55
20151016,TREE,69.17,5.96
20151016,RDUS,64.55,11.06
20151016,HRTX,63.61,13.82
20151016,CALM,53.92,4.03
20151016,MXL,53.52,4.28
20151016,DY,52.2,3.85
20151016,AMED,52.18,4.78
20151016,NHTC,52.02,7.22
20151016,SSRM,45.31,5.68
20151016,NFLX,44.74,4.57
20151016,HA,39.21,4.08
20151016,CCRN,38.53,5.64
20151016,SKYW,37.9,4.19
20151016,RARE,37.68,10.29
20151016,PAYC,37.29,4.01
20151016,SPWH,34.3,3.79
20151016,UVE,34.17,3.99
20151016,CHUY,33.67,3.73
20151016,TSE,33.26,4.91
20151016,AMN,33.02,5.36
20151016,TNK,30.84,4.03
20151016,INGN,30.6,5.16
20151016,PRTA,30.52,9.15
