Date,Symbol,ROC130,ADRP20
20180119,RIOT,409.21,13.22
20180119,BYON,379.32,9.84
20180119,ANAB,337.59,4.2
20180119,ARWR,313.82,10.84
20180119,NKTR,246.35,5.13
20180119,CNET,237.67,22.55
20180119,SIEB,223.46,13.66
20180119,DQ,185.05,7.63
20180119,BOOT,177.96,4.45
20180119,MARA,177.78,12.26
20180119,QURE,177.2,5.57
20180119,GDS,174.97,5.84
20180119,ANF,124.07,3.91
20180119,YY,116.65,4.35
20180119,GLYC,114.85,6.42
20180119,SAGE,107.8,4.73
20180119,SAVA,107.18,12.13
20180119,ATRA,96.01,8.93
20180119,CORT,94.8,5.03
20180119,COLL,91.17,5.69
20180119,CONN,87.34,4.21
20180119,CROX,85.89,3.65
20180119,ZUMZ,85.54,3.88
20180119,HTHT,84.3,3.82
20180119,BLUE,83.66,3.86
20180119,MTBL,78.94,9.4
20180119,WTW,77.52,5.14
20180119,WW,77.52,5.14
20180119,SRPT,76.96,3.96
20180119,SGMO,75.74,5.76
20180119,EDIT,75.72,6.83
20180119,CRSP,74.99,8.16
20180119,ATHM,73.9,3.57
20180119,FTFT,72.27,25.7
20180119,INSM,72.24,4.48
20180119,IIPR,71.77,10.06
20180119,OLED,70.2,3.51
20180119,NVAX,68.38,9.24
20180119,LGIH,67.99,3.53
20180119,AXGN,67.76,3.69
20180119,NBIX,67.42,4.13
20180119,LIVE,66.73,8.5
20180119,CTMX,62.84,3.85
20180119,NTNX,62.43,3.58
20180119,SQ,61.64,3.79
20180119,DVAX,61.34,5.03
20180119,ESPR,58.36,4.96
20180119,CSTM,58.18,4.21
20180119,PUMP,53.23,3.64
20180119,CMCM,53.06,7.79
20180119,BGNE,52.9,4.17
20180119,RH,51.92,4.22
20180119,ITCI,51.22,4.06
20180119,HRTX,50.16,4.7
20180119,WGO,50.14,3.95
20180119,ICHR,49.47,5.6
20180119,BPMC,48.44,5.17
20180119,SM,48.33,3.9
20180119,HBM,44.96,3.84
20180119,RVNC,44.78,4.17
20180119,CAR,43.56,3.76
20180119,FGEN,42.84,4.05
20180119,HLX,42.81,3.97
20180119,VIPS,41.6,4.36
20180119,RIG,39.26,3.98
20180119,RGNX,36.87,6.12
20180119,HALO,36.11,3.56
20180119,PETS,34.07,3.51
20180119,BB,33.5,3.9
20180119,CENX,31.86,4.94
