Date,Symbol,ROC65,ADRP20
20161118,AAOI,99.63,6.03
20161118,CARA,95.27,9.49
20161118,CC,82.9,4.34
20161118,CORT,68.15,4.62
20161118,BZUN,67.13,5.83
20161118,SXC,61.28,5.93
20161118,ARCB,60.99,5.52
20161118,LNW,60.31,5.43
20161118,OCN,55.21,5.91
20161118,GEO,54.88,4.23
20161118,PTCT,54.67,10.81
20161118,EXEL,54.6,6.02
20161118,AGIO,54.23,5.32
20161118,OCUL,53.45,9.18
20161118,SRPT,52.28,6.81
20161118,BGFV,52.02,4.58
20161118,NVDA,50.39,4.06
20161118,COLL,48.45,5.6
20161118,ESEA,42.61,28.46
20161118,SAGE,42,5.87
20161118,TCBI,41.78,3.57
20161118,LPLA,41.76,3.64
20161118,PEGA,39.98,3.6
20161118,HQY,37.61,4.12
20161118,VNDA,37.21,5.43
20161118,ATRC,37.2,5.14
20161118,BPMC,36.62,5.2
20161118,MTUS,36.14,5.71
20161118,SAIA,36.1,4.14
20161118,INCY,36.07,4.55
20161118,PRO,35.61,3.73
20161118,CRK,34.66,6.57
20161118,WIX,34.03,4.67
20161118,MDXG,33.79,5.06
20161118,UIS,33.59,4.78
20161118,LOPE,33.49,3.67
20161118,MOMO,33.04,7.49
20161118,WDC,33.01,3.55
20161118,EGRX,32.82,6.13
20161118,ODP,32.2,4.69
20161118,MMYT,31.33,3.79
20161118,AMKR,31.24,4.01
20161118,IONS,30.9,7.03
20161118,CENX,30.88,6.08
20161118,MRCY,30.76,3.93
20161118,BZH,30.63,4.83
20161118,AMBC,30.62,3.53
