Date,Symbol,ROC65,ADRP20
20150220,EGRX,166.03,8.7
20150220,TCRT,156.3,8.4
20150220,BLUE,138.42,5.48
20150220,ESPR,121.34,7.26
20150220,NBIX,108.25,5.4
20150220,RDUS,105.65,6.51
20150220,FRO,103.05,8.1
20150220,HALO,79.86,4.45
20150220,PGEN,77.96,7.22
20150220,OPK,71.29,4.53
20150220,MGNX,54.1,4.71
20150220,FOLD,52.9,5.51
20150220,MTSI,51.75,5.02
20150220,SGMO,51.12,5.88
20150220,COMM,46.7,4.21
20150220,AMKR,43.35,4.6
20150220,PAYC,42.55,7.78
20150220,ALKS,42.3,3.65
20150220,PTCT,41.91,5.41
20150220,SBSW,41.1,3.89
20150220,NUS,40.03,5.1
20150220,SIMO,39.98,4.23
20150220,JBLU,38.81,3.8
20150220,ACAD,37.99,3.78
20150220,TOVX,37.33,7.91
20150220,HZO,37.01,3.74
20150220,IONS,36.69,4.72
20150220,POST,36.57,3.51
20150220,PCRX,33.18,4.26
20150220,INSM,33.08,4.37
20150220,RARE,32.59,4.8
20150220,ATRO,31.86,3.88
20150220,NOAH,31.39,3.65
20150220,QLYS,30.74,4.84
20150220,OLED,30.45,4.08
