Date,Symbol,ROC130,ADRP20
20100305,SANM,216.85,4.82
20100305,TCOM,214.66,4.12
20100305,CAAS,164.23,7.76
20100305,TOVX,137.84,11.12
20100305,CULP,136.87,8.15
20100305,CLF,132.29,4.82
20100305,SEED,118.39,6.61
20100305,DAN,108.41,5.06
20100305,LYV,96.03,3.8
20100305,EWBC,94.28,3.76
20100305,DDS,91.69,4.69
20100305,MTW,87.46,4.03
20100305,TGNA,86.03,3.79
20100305,NKTR,85.13,3.68
20100305,HL,84.64,5.35
20100305,RICK,83.63,6.53
20100305,DECK,83.38,3.51
20100305,GPRE,82.55,7.49
20100305,INCY,80.69,3.97
20100305,HUN,75.41,3.92
20100305,VIAV,71.05,4.49
20100305,GNW,70.73,3.85
20100305,NG,70.24,5.24
20100305,DAL,69.56,4.2
20100305,AMR,63.59,4.35
20100305,VECO,58.94,4.56
20100305,ATI,57.73,3.76
20100305,AXL,55.68,4.88
20100305,CAL,54.87,3.88
20100305,WPM,54.42,4.08
20100305,DIN,54.26,4.14
20100305,CRS,52.45,3.97
20100305,CLNE,50.94,4.06
20100305,NYT,48.05,4.29
20100305,TX,46.63,4.89
20100305,STX,46.58,4.02
20100305,LZB,46.51,5.49
20100305,IMAX,46.11,5.16
20100305,MELI,44.5,3.86
20100305,CNX,43.06,4.02
20100305,TTI,42.29,5.33
20100305,CSIQ,41.63,5.65
20100305,BC,41.24,4.72
20100305,TXT,40.53,3.7
20100305,ODP,38.76,4.81
20100305,LAMR,36.69,3.57
20100305,SITC,35.88,3.67
20100305,TEX,34.36,4.39
20100305,AMED,33.35,3.54
20100305,PARA,33.3,3.67
20100305,BVN,33.29,4.32
20100305,CENX,32.41,6
20100305,IAG,32.15,4.19
20100305,VSH,31.89,4.47
20100305,MU,31.39,4.06
20100305,ENTG,31.38,5.33
20100305,MGM,30.44,4.18
20100305,KLIC,30.11,6.1
