Date,Symbol,ROC65,ADRP20
20100423,WNC,193.44,6.06
20100423,AGM,191.29,7.99
20100423,RDN,138.36,5.72
20100423,TCOM,117.65,3.7
20100423,LSCC,104.33,4.64
20100423,ATSG,104.17,8.09
20100423,NFLX,94.67,3.7
20100423,DIN,92.47,3.51
20100423,MBI,86.81,7.87
20100423,BPOP,85.31,5.87
20100423,TOVX,74.04,15.43
20100423,MTG,70.34,6.95
20100423,SNBR,68.55,5.19
20100423,ZION,67.41,5.02
20100423,LPX,64.45,4.82
20100423,KLIC,63.14,5.36
20100423,BYON,60.81,6.85
20100423,AIG,58.73,5.16
20100423,FR,53.32,5
20100423,IMAX,52.58,3.65
20100423,WBS,51.99,4.43
20100423,CATY,51.55,3.75
20100423,BC,51.28,3.88
20100423,MED,50.56,4.47
20100423,ZUMZ,48.63,3.76
20100423,INCY,44.04,3.66
20100423,BZH,42.24,5.63
20100423,URI,42.05,4.97
20100423,VECO,41.67,4.45
20100423,RRGB,41.44,3.67
20100423,SOL,41.15,5.46
20100423,LVS,40.49,4.55
20100423,CIEN,39.11,4.33
20100423,FBP,38.63,11.25
20100423,LULU,38.45,3.58
20100423,OFG,38.22,5.19
20100423,CRUS,37.73,4.2
20100423,CRS,37.16,3.56
20100423,HLX,36.49,3.81
20100423,NGD,35.39,4.33
20100423,AER,34.96,4
20100423,BYD,33.98,5.17
20100423,MGM,33.42,5.34
20100423,RF,32.99,5.09
20100423,KEY,32.04,4.6
20100423,NG,31.43,3.61
20100423,WYNN,31.23,3.7
20100423,SCS,30.68,3.96
20100423,UFPI,30.36,4.57
20100423,ENTG,30.04,4.87
