Date,Symbol,ROC130,ADRP20
20240126,ZJYL,1548.15,36.3
20240126,SLNO,868.81,5.93
20240126,CRBP,349.54,13.61
20240126,NKTX,338.76,14.44
20240126,TNGX,279.28,6.91
20240126,LBPH,240.2,11.97
20240126,GCT,213.2,12.67
20240126,FUSN,203.34,9.62
20240126,MGNX,183.08,6.41
20240126,ANF,175.33,3.8
20240126,PRAX,163.73,12.67
20240126,ARDX,163.37,6.68
20240126,CYTK,157.44,8.18
20240126,RYTM,150.14,6.56
20240126,IMNM,148.3,9.11
20240126,EYPT,143.96,7.9
20240126,TDS,141.06,3.97
20240126,RVSN,139.9,30.15
20240126,EWTX,136.34,9.33
20240126,AFRM,134.89,5.93
20240126,SRRK,122.71,6.57
20240126,UEC,119.82,4.81
20240126,APLS,111.91,5.53
20240126,UTI,111.27,3.71
20240126,AUTL,106.25,8.33
20240126,ALPN,105.06,5.63
20240126,METC,101.51,6.48
20240126,FFWM,100,5.48
20240126,CRNX,99.89,3.99
20240126,GRPN,97.96,6.61
20240126,AMSC,95.87,6.96
20240126,CLS,93.64,3.68
20240126,IDYA,92.74,3.96
20240126,VERA,91.13,9.55
20240126,BHVN,89.41,5.55
20240126,SYRE,86.44,9.59
20240126,ACLX,84.49,4.63
20240126,TAL,83.02,6.1
20240126,ESTC,82.36,3.52
20240126,CABA,80.4,6.05
20240126,CAMT,79.73,4.14
20240126,KURA,79.62,5.79
20240126,AMRX,79.41,3.77
20240126,S,78.58,3.96
20240126,AAOI,77.82,10.33
20240126,IMVT,75.86,4.78
20240126,MOD,73.95,3.59
20240126,MMYT,73.55,3.54
20240126,LQDA,72.38,5.95
20240126,HMST,72.05,5.42
20240126,OSUR,68.67,3.54
20240126,NUVL,65.44,4.03
20240126,RCKT,62.45,4.68
20240126,BKD,62.29,3.62
20240126,INBX,60.55,6.36
20240126,EDU,60.28,4.08
20240126,ARVN,60.27,4.8
20240126,LFMD,59.95,7.75
20240126,EOLS,59.41,4.82
20240126,HPP,57.94,4.61
20240126,AMD,56.86,4.19
20240126,OSCR,56.07,6.2
20240126,NXE,54.3,4.09
20240126,HCC,52.88,3.9
20240126,ASND,51.82,3.66
20240126,RXST,51.16,4.25
20240126,BASE,50.43,3.97
20240126,ASPN,50.25,6.13
20240126,LGF.A,49.16,3.98
20240126,ACMR,48.98,5.73
20240126,TNK,48.36,3.67
20240126,SMCI,47.55,7.4
20240126,VKTX,47.48,7.19
20240126,SWTX,47.44,4.72
20240126,CCCC,45.87,12.11
20240126,LGF.B,45.03,3.93
20240126,LPG,43.8,5.05
20240126,IRON,43.16,5.55
20240126,MOR,43.11,6.64
20240126,AMCX,43.06,4.38
20240126,TARS,43.02,4.62
20240126,FYBR,42.28,3.96
20240126,UPWK,42.12,3.98
20240126,GTLB,42.03,4.16
20240126,KYMR,41.9,7.28
20240126,BFRG,41.08,14.48
20240126,VNO,38.97,3.87
20240126,NTRA,38.97,4.18
20240126,BPMC,38.57,3.78
20240126,CCJ,38.26,3.53
20240126,ELF,37.72,4.5
20240126,ADMA,37.2,3.69
20240126,INSM,37.04,3.51
20240126,PSFE,36.55,4.74
20240126,TME,36.46,3.51
20240126,STNE,36.19,3.87
20240126,PCVX,35.85,4.49
20240126,VSCO,35.42,4.32
20240126,INTR,33.86,3.75
20240126,UDMY,33.8,3.65
