Date,Symbol,ROC65,ADRP20
20130301,SPWR,185.98,9.2
20130301,ACAD,176.52,4.35
20130301,NFLX,130.8,4.31
20130301,RDN,116.27,5.88
20130301,SGMO,88.85,5.34
20130301,ZG,73.77,5.45
20130301,RBBN,71.83,4.68
20130301,IONS,70.11,3.7
20130301,EQC,59.85,3.86
20130301,OPK,57.43,4.03
20130301,TPX,55.18,3.74
20130301,APO,53.31,4.45
20130301,AEIS,49.88,3.74
20130301,DK,49.19,3.59
20130301,NBIX,48.04,4.31
20130301,WT,47.71,3.78
20130301,SLCA,47.69,6.86
20130301,NKTR,46.78,3.64
20130301,ALNY,46.09,3.57
20130301,PCRX,44.21,3.83
20130301,OLED,38.47,6.68
20130301,PEGA,38.32,3.78
20130301,NXST,37.72,3.52
20130301,BBY,37.5,4.77
20130301,SBGI,36.72,3.74
20130301,TEX,33.94,3.5
20130301,CAR,33.52,4.13
20130301,AGO,33,3.55
20130301,DECK,32.26,4.38
20130301,WNS,31.67,4
20130301,MNKD,31.66,3.84
20130301,PRLB,31.43,4.6
20130301,PPC,30.68,4.83
20130301,VSAT,30.55,3.56
