Date,Symbol,ROC65,ADRP20
20180824,BLFS,181.55,8.65
20180824,TNDM,179.05,7.19
20180824,NTRA,153.15,5.12
20180824,FNKO,139.79,6.84
20180824,CVNA,129.49,5.63
20180824,VKTX,122.96,5.71
20180824,PETQ,91.97,5.87
20180824,ROKU,83.1,5.2
20180824,AMD,83.05,4.13
20180824,CDNA,81.2,5.7
20180824,IRBT,74.67,3.95
20180824,YEXT,72.31,4.62
20180824,DDD,69.04,6.22
20180824,FOXF,67.96,3.7
20180824,ETSY,66.92,4.81
20180824,TTD,66.75,4.88
20180824,STAA,64.4,5.41
20180824,MED,64.32,4.05
20180824,FRPT,63.82,4.93
20180824,IRDM,59.16,3.99
20180824,MDB,58,3.92
20180824,DXCM,56.69,3.67
20180824,CARG,56.65,4
20180824,TWLO,54.47,4.43
20180824,OPK,54.25,4.97
20180824,HEAR,53.4,7.68
20180824,CONN,52.57,3.75
20180824,TDOC,51.96,4.42
20180824,VICR,50.38,3.92
20180824,ARWR,50.36,6.95
20180824,W,50.35,4.41
20180824,SRPT,49.78,4.52
20180824,PAYC,48.3,3.5
20180824,TCS,47.56,6.2
20180824,MRCY,46.1,3.64
20180824,FIVN,45.32,3.82
20180824,ANGI,44.48,4.35
20180824,ODP,43.97,4.35
20180824,SQ,41.91,4.11
20180824,RGNX,41.5,5.38
20180824,GOOS,41.39,4.16
20180824,PTCT,38.91,4.63
20180824,LPSN,37.57,3.62
20180824,EXAS,37.31,3.94
20180824,EVBG,36.42,4.08
20180824,TCMD,36.22,4.85
20180824,FOSL,35.74,7.4
20180824,UIS,35.17,3.54
20180824,PCRX,32.19,3.78
20180824,LGND,31.76,3.73
20180824,SCVL,31.56,3.52
20180824,ALRM,30.61,3.77
20180824,MEDP,30.44,3.85
20180824,RUN,30.03,5.43
