Date,Symbol,ROC130,ADRP20
20101015,COR,10213.33,6.33
20101015,OLED,122.65,3.71
20101015,RES,101.14,3.71
20101015,ACTG,97.62,4.97
20101015,SOL,94.77,5.96
20101015,EXAS,89.34,5.72
20101015,NFLX,80.31,4.13
20101015,MSB,76.71,4.58
20101015,CRUS,66.05,4.61
20101015,MBI,63.65,4.85
20101015,BIDU,57.43,3.82
20101015,URI,55.49,3.78
20101015,RDWR,53.01,5.68
20101015,FFIV,49.06,4.62
20101015,AKAM,40.74,3.62
20101015,TWI,37.64,4.51
20101015,NGD,37.5,3.85
20101015,ULTA,35.77,3.51
20101015,CRM,34.76,4.02
20101015,NR,32.15,4.38
20101015,INFN,30.23,4.62
