Date,Symbol,ROC65,ADRP20
20210129,ALPP,6326.09,18.63
20210129,KOSS,2890.65,34.61
20210129,GME,2318.15,36.18
20210129,CENN,2223.94,30.84
20210129,BNGO,1931.25,19.38
20210129,GEVO,958.33,15.79
20210129,FCEL,822.67,13.54
20210129,MARA,716.54,16.79
20210129,FRSX,701.96,17.67
20210129,POLA,691.9,21.72
20210129,ENG,682.61,19.45
20210129,EH,677.96,16.69
20210129,NCTY,618.69,25.61
20210129,GBR,616.77,18.3
20210129,SUNW,554.61,20.57
20210129,SOL,542.86,16.72
20210129,BLNK,517.88,13.76
20210129,GRTS,515.65,18.12
20210129,FTEK,513.41,11.96
20210129,IZEA,510.19,19.38
20210129,LXRX,490.3,12.08
20210129,AQMS,485.57,13.85
20210129,DDD,457.05,17.01
20210129,SM,451.97,9.55
20210129,RIOT,432.99,14.91
20210129,ACRS,406.1,11.92
20210129,UUU,397.54,22.55
20210129,BTBT,383.08,20.65
20210129,AMC,382.18,20.23
20210129,SNDL,368.39,16.34
20210129,CHEK,363.64,21.31
20210129,RHE,361.59,25.26
20210129,UAVS,344.09,16.22
20210129,NNDM,338.98,11.55
20210129,PLUG,336.86,9.76
20210129,CTRM,334.41,21.17
20210129,IDEX,331.11,14.97
20210129,VERI,306.1,9.77
20210129,CLNE,298.05,10.71
20210129,CPSH,288.89,18.2
20210129,WPRT,278.63,8.61
20210129,KOPN,277.78,13.38
20210129,VERU,260,8.23
20210129,ARVN,258.21,6.79
20210129,CLPT,256.95,9.8
20210129,MSTR,252.75,8.74
20210129,LMFA,242.24,20.75
20210129,DBVT,235.95,7.55
20210129,DMTK,231.82,11.97
20210129,SPWR,228.93,11.7
20210129,TIGR,227.39,14.81
20210129,CLSK,227.01,13.16
20210129,ACST,224.9,17.99
20210129,FLGT,221.66,11.17
20210129,ATOM,220.54,13.47
20210129,JMIA,219.19,12.68
20210129,FUTU,215.89,12.11
20210129,TLRY,208.87,12.53
20210129,APPN,208.52,9.87
20210129,STIM,206.61,11.43
20210129,DAC,206.37,9.31
20210129,CMRX,206.14,9.62
20210129,SSYS,204.1,9.71
20210129,DOMH,198.4,19.01
20210129,IPWR,196.71,17.04
20210129,BB,188.93,14.96
20210129,SLCA,187.63,8.09
20210129,GTE,182.69,13.67
20210129,MVIS,179.53,13.2
20210129,CANG,177.34,11.25
20210129,PHUN,174.91,14.96
20210129,PLCE,172.51,6.63
20210129,ITRM,171.5,13.55
20210129,REPX,168.89,23.52
20210129,CHPT,168.79,7.28
20210129,SFIX,168.69,9.27
20210129,VANI,168.51,14.35
20210129,JWN,167.75,6.36
20210129,VUZI,163.1,13.54
20210129,NDRA,162.43,16.2
20210129,PPSI,158.78,16.1
20210129,ORGO,158.27,8.02
20210129,CELH,157.6,9.34
20210129,HIMX,156.91,7.23
20210129,EXPI,156.74,7.98
20210129,NTLA,155.59,10.1
20210129,ACB,153.41,8.94
20210129,BILI,153.09,7.14
20210129,NVAX,152.85,8.35
20210129,REKR,150.53,9.95
20210129,MRNA,146.53,7.17
20210129,DQ,146.25,10.85
20210129,CBAT,146.15,13.11
20210129,SPCE,141.76,10.64
20210129,NBR,140.8,7.04
20210129,FTFT,140.58,22.63
20210129,GRWG,140.35,8.08
20210129,AYRO,139.93,9.95
20210129,VFF,139.27,7.98
20210129,NOG,136.66,7.09
