Date,Symbol,ROC20,ADRP20
20220304,INDO,953.49,23.88
20220304,MXC,137.52,9.54
20220304,BTU,115.63,10.98
20220304,LNTH,100.23,5.55
20220304,CENX,86.41,6.92
20220304,GSM,85.71,7.64
20220304,NFE,63.82,6.59
20220304,TALO,61.95,6.64
20220304,LXU,61.93,8.74
20220304,GRIN,59.39,8.84
20220304,IPI,55.42,6.94
20220304,BPT,53.99,11.26
20220304,RYI,53.92,5.64
20220304,AMR,53.54,6.52
20220304,BVN,51.61,5.68
20220304,CEIX,50.86,5.95
20220304,GFI,50.39,4.54
20220304,CHKEL,49.43,4.2
20220304,SQM,48.21,4.79
20220304,VTNR,47.51,8.79
20220304,SLCA,46.88,6.42
20220304,MRC,46.8,4.6
20220304,ACRS,45.98,6.34
20220304,PTEN,44.64,5.72
20220304,RES,44.59,5.98
20220304,AA,44.5,6.41
20220304,ARCH,44.3,6.09
20220304,GTE,42.99,7.9
20220304,HMY,42.98,5.35
20220304,FRO,42.6,4.12
20220304,HL,42.5,5.6
20220304,OXY,40.37,5.7
20220304,MOS,39.33,5.3
20220304,CLF,38.4,5.52
20220304,MDGL,38,6.59
20220304,NARI,37.79,5.81
20220304,STNG,37.35,5.12
20220304,HCC,37.26,4.74
20220304,SBSW,37.18,4.43
20220304,EQX,36.35,4.88
20220304,METC,35.47,8.55
20220304,DRQ,35.42,4.76
20220304,MTUS,34.93,5.26
20220304,SAND,34.86,4.2
20220304,CPRX,34.81,5.68
20220304,AU,34.64,3.87
20220304,AGRO,33.93,4.27
20220304,PLL,33.11,6.39
20220304,UUUU,32.95,6.68
20220304,BKD,32.82,5.78
20220304,NTR,31.78,3.74
20220304,GOGO,31.75,4.57
20220304,STLD,31.44,4.42
20220304,WTI,31.36,5.83
20220304,GNK,31.29,5.48
20220304,FCX,31.18,3.87
20220304,KAR,31.16,4.88
20220304,SILV,30.92,5.33
20220304,MRCY,30.78,3.65
20220304,ARLO,30.39,5.71
20220304,HP,30.33,4.48
20220304,EURN,30.33,3.53
