Date,Symbol,ROC130,ADRP20
20191122,KPTI,211.09,4.75
20191122,EVER,189.42,6.79
20191122,KOD,181.54,9.14
20191122,CDLX,170.15,6.1
20191122,FLGT,146.04,10.58
20191122,ARWR,130.44,4.96
20191122,ZYME,129.89,4.71
20191122,EGO,120.64,4.8
20191122,CDE,119.66,4.98
20191122,APPS,115.72,5.9
20191122,WW,105.88,4.79
20191122,SYNA,99.23,4.94
20191122,ALLK,94.55,5.75
20191122,INFN,92.49,5.88
20191122,DCPH,88.36,4.63
20191122,SHYF,87.85,3.99
20191122,DXCM,87.05,3.71
20191122,NVCR,84.94,4.38
20191122,ACAD,84.34,4.29
20191122,AG,82.15,3.85
20191122,ROKU,81.16,5.75
20191122,TNK,79.14,6.92
20191122,LPG,78.5,3.5
20191122,MTSI,78.09,4.09
20191122,NG,73.63,3.64
20191122,AMKR,73.04,4.75
20191122,OMI,71.47,6.78
20191122,BLDP,70.3,4.56
20191122,NTRA,66.16,4.1
20191122,COLL,62.61,5.71
20191122,VIPS,59.01,4.09
20191122,BGNE,58.7,4
20191122,PDD,57.95,4.89
20191122,CRSP,57.75,7.27
20191122,ALNY,57.52,3.75
20191122,UCTT,57.07,4.29
20191122,ARVN,53.75,6.53
20191122,UI,53.3,3.51
20191122,LSCC,52.38,4.44
20191122,STAA,51.01,3.9
20191122,AUDC,49.74,4.5
20191122,SE,46.79,3.55
20191122,BZH,46.44,4.24
20191122,SKY,46.1,4.84
20191122,STNE,44.52,4.77
20191122,SONO,44.1,4.49
20191122,AXSM,42.46,6.89
20191122,HIBB,40.84,3.85
20191122,CMRE,40.46,4.58
20191122,SEDG,39.36,5.1
20191122,GFI,39.26,3.54
20191122,LNW,38.07,4.69
20191122,ELF,37.78,4.98
20191122,THC,37.43,3.69
20191122,LOCO,35.94,3.79
20191122,SUM,35.35,3.54
20191122,MTZ,35.15,3.6
20191122,HRTX,34.88,4.43
20191122,BLD,34.4,3.52
20191122,YMAB,34.02,5.32
20191122,APLS,33.97,4.59
20191122,CVNA,33.94,4.41
20191122,BOOT,33.83,5.06
20191122,IOVA,33.52,5.82
20191122,SNAP,32.24,3.73
20191122,HOUS,30.74,6.47
20191122,ENPH,30.17,7.37
