Date,Symbol,ROC20,ADRP20
20180309,AMR,3300,6.46
20180309,CLSD,131.32,9.68
20180309,COOP,89.33,6.45
20180309,GTHX,67.71,9.67
20180309,TWLO,65.24,4.98
20180309,SEDG,62.64,4.55
20180309,FATE,62.59,9.29
20180309,VCEL,61.54,8.74
20180309,TUSK,60.22,7.25
20180309,ETSY,57.53,4.68
20180309,NTNX,57.17,4.71
20180309,FOSL,54.23,8.07
20180309,NTLA,50.71,7.12
20180309,CNX,50,4.26
20180309,VYGR,49.31,8.56
20180309,BZUN,47.64,5.74
20180309,CRSP,46.79,7.98
20180309,ITCI,45.82,6.73
20180309,NKTR,45.13,6.36
20180309,AXGN,44.88,4.92
20180309,LPSN,42.86,4.04
20180309,MOMO,42.3,5.25
20180309,WIX,41.55,4.37
20180309,RGNX,41.18,6.28
20180309,DIN,41.14,4.66
20180309,TGTX,40.25,6.62
20180309,OKTA,39.04,5.24
20180309,UPLD,38.75,4.35
20180309,LRCX,38.66,3.96
20180309,CHGG,37.9,4.46
20180309,THC,37.39,4.63
20180309,BPMC,37.15,6.43
20180309,MGNX,36.76,5.44
20180309,MU,36.48,3.89
20180309,DDS,36.35,4.69
20180309,TAL,36.03,4.59
20180309,TTD,36.03,4.91
20180309,GTLS,35.8,3.91
20180309,UIS,35.33,4.82
20180309,BL,35.22,3.92
20180309,PEGA,35.16,3.98
20180309,HUBS,35.01,3.94
20180309,RUN,34.15,5.89
20180309,MTCH,33.37,4.61
20180309,ASND,32.92,5.7
20180309,SQ,32.89,4.8
20180309,NFLX,32.52,3.59
20180309,EDIT,32.45,7.21
20180309,QUAD,32.03,5.64
20180309,SGMO,31.75,7.09
20180309,ICHR,31.71,6.25
20180309,QURE,31.49,6.3
20180309,ARWR,30.92,7.67
20180309,TDOC,30.56,5.44
20180309,NVRI,30.34,4.53
20180309,SRPT,30.07,5.09
20180309,VNDA,30.07,3.94
