Date,Symbol,ROC65,ADRP20
20180601,HEAR,946.67,15.66
20180601,TNDM,356.65,8.33
20180601,FI,177.86,4.97
20180601,CARM,165.26,15.4
20180601,MDGL,117.72,7.95
20180601,OMER,106.24,7.83
20180601,CATO,104.4,4.07
20180601,GTHX,93.01,6.94
20180601,STAA,92.99,4.47
20180601,RGNX,88.75,5.17
20180601,RUN,83.41,4.61
20180601,OSPN,80.17,4.1
20180601,VCEL,80,5.47
20180601,FOSL,77.13,6.23
20180601,BZUN,75.68,4.79
20180601,DK,74.65,3.98
20180601,ENPH,74.1,7.15
20180601,WTI,72.75,6.23
20180601,AXGN,70.03,4.27
20180601,ARWR,68.36,6.36
20180601,TWLO,68.27,3.93
20180601,HRTX,66.34,4.58
20180601,CTLP,63.8,5.07
20180601,GPRK,61.21,5.27
20180601,AAOI,61.19,5.01
20180601,CRK,60.38,7.56
20180601,CHRS,57.58,5.71
20180601,TCMD,55.87,4.34
20180601,VKTX,55.75,9.83
20180601,NTNX,55.61,3.84
20180601,CERS,55.37,4.68
20180601,ENVA,55.23,3.53
20180601,SPTN,54.8,4.24
20180601,RARE,54.21,4.33
20180601,TTD,53.82,4.58
20180601,INGN,53.5,3.6
20180601,SRPT,52.7,4.72
20180601,CLSD,50.93,7.47
20180601,MOMO,50.08,4.49
20180601,CROX,49.18,3.53
20180601,SUPN,48.33,4.24
20180601,KOS,47.5,5.1
20180601,UPLD,47.4,4.24
20180601,EVBG,46.07,3.7
20180601,ATHM,45.26,4.32
20180601,ARCB,45.02,4.27
20180601,GDS,43.44,5.92
20180601,LXRX,42.29,5.05
20180601,BGNE,42.22,4.07
20180601,BPT,41.94,4.86
20180601,TUSK,41.67,5.97
20180601,RIG,41.16,3.56
20180601,CVNA,40.57,5.65
20180601,SCVL,40.24,3.79
20180601,PTCT,40.23,4.11
20180601,BOOT,39.95,3.56
20180601,QURE,38.83,5.33
20180601,CRSP,38.53,7.67
20180601,KRNT,36.33,5
20180601,IRDM,36.32,3.69
20180601,CVI,35.38,4.26
20180601,NOAH,34.78,5.06
20180601,GOOS,34.49,3.55
20180601,VNOM,34.39,3.67
20180601,LNW,34.2,4.17
20180601,UVV,33.88,3.66
20180601,EXAS,33.47,3.66
20180601,SGH,32.26,4.47
20180601,TELL,32.07,5.81
20180601,DDD,31.05,4.97
20180601,IMMR,30.46,4.1
20180601,NOG,30.43,6.74
20180601,TPIC,30.42,3.7
