Date,Symbol,ROC20,ADRP20
20200828,MCRB,554.55,13.08
20200828,VVPR,376.88,18.62
20200828,GRPN,113.94,8.51
20200828,NAAS,111.2,12.06
20200828,EXPI,106.04,9.75
20200828,JAN,97.72,18.45
20200828,GRWG,93.6,12.05
20200828,KZIA,88.58,9.41
20200828,SPWR,87.07,7.87
20200828,RMBL,84.83,11.52
20200828,FOSL,84.59,8.8
20200828,IRTC,76.53,6.76
20200828,PBI,74.85,9.32
20200828,APPS,72.77,8.65
20200828,PACB,71.85,6.18
20200828,GOGO,71.82,10.57
20200828,EAT,69.62,5.86
20200828,PLUG,69.52,7.58
20200828,CYRX,67.47,6.81
20200828,RRR,64.87,6.52
20200828,FAT,62.5,13.42
20200828,BJRI,60.77,5.37
20200828,ATHE,59.59,11.05
20200828,PENN,58.7,6.87
20200828,CZR,57.97,5.92
20200828,SIG,56.42,6.71
20200828,AMC,55.94,9.18
20200828,NIO,54.94,7.36
20200828,IMVT,54.8,6.08
20200828,TSLA,54.71,5.29
20200828,RUN,51.29,7.08
20200828,HVT,49.51,4.91
20200828,MGM,48.29,5.17
20200828,PGEN,47.27,10.03
20200828,AQST,47.15,7.8
20200828,CSIQ,46.88,5.28
20200828,KURA,46.72,4.73
20200828,MESO,44.11,7.92
20200828,URBN,43.95,5.3
20200828,WVE,42.14,6.89
20200828,PTGX,41.77,6.35
20200828,BRP,41.49,5.35
20200828,KIRK,41.26,16.52
20200828,CVNA,40.97,6.21
20200828,LPSN,40.88,4.4
20200828,MOS,40.39,4.27
20200828,CELH,40.08,8.85
20200828,HIBB,39.93,4.7
20200828,IMAX,39.06,4.72
20200828,SHAK,38.93,4.62
20200828,DIN,38.28,4.69
20200828,NKLA,37.83,8.19
20200828,ARLO,37.44,10.35
20200828,CRNC,36.33,6.3
20200828,CAR,36.33,5.43
20200828,GRNQ,36,19.53
20200828,FSLR,34.34,4.47
20200828,DY,34.3,3.78
20200828,BE,34.13,8.54
20200828,NTRA,34.09,4.79
20200828,BLDR,33.69,4.23
20200828,DNLI,33.56,6.59
20200828,PFGC,33.37,4.76
20200828,GPS,31.19,4.5
20200828,TRUP,30.49,6.15
20200828,SILK,30.39,4.08
