Date,Symbol,ROC65,ADRP20
20150710,HRTX,122.99,5.37
20150710,SRPT,110.96,5.27
20150710,RARE,95.06,4.95
20150710,IMMP,90.56,10.57
20150710,NHTC,88.13,8.32
20150710,EGRX,82.14,6.63
20150710,BLDR,81.29,3.55
20150710,RDUS,64.31,6
20150710,BCRX,59.53,4.89
20150710,SAGE,50.43,5.3
20150710,HALO,49.08,4.22
20150710,GRBK,47.5,5.41
20150710,PRTA,47.04,5.55
20150710,SUPN,44.21,5.32
20150710,ITCI,43.16,6.48
20150710,TVTX,42.15,4.15
20150710,TOVX,39.45,7.55
20150710,LNW,38.04,3.61
20150710,HIMX,35.24,4.46
20150710,AMBA,33.92,5.82
20150710,VNDA,31.32,3.99
20150710,RGEN,31.16,3.66
