Date,Symbol,ROC130,ADRP20
20150116,AGIO,257.94,5.96
20150116,PBYI,239.29,5.11
20150116,ESPR,191.25,7.95
20150116,BLUE,189.02,6.17
20150116,PTCT,138.41,5.58
20150116,ABUS,137.59,7.46
20150116,IONS,127.8,5.88
20150116,NBIX,119.92,6.75
20150116,FOLD,102.99,6.48
20150116,OSPN,102.77,6.19
20150116,CMRX,88.95,5.96
20150116,AMBA,80.96,5.8
20150116,ALNY,78.61,4.63
20150116,HA,77.47,3.82
20150116,UVE,71.2,3.57
20150116,EXAS,69.74,5.24
20150116,BMRN,68.3,3.85
20150116,OMER,62.54,5.34
20150116,MGNX,57.38,8.08
20150116,ODP,57.03,4.02
20150116,ANIP,56.4,5.71
20150116,HALO,54.21,6.73
20150116,NVAX,51.67,5.24
20150116,GFI,48.83,5.33
20150116,ACAD,47.94,3.78
20150116,RDUS,47.86,7.82
20150116,UAL,46.37,3.56
20150116,INCY,46.19,3.87
20150116,CERS,46.15,6
20150116,ALKS,44.63,4.35
20150116,TNK,43.99,6.34
20150116,RDWR,42.8,3.65
20150116,SMCI,40.73,3.92
20150116,TSEM,40.38,3.95
20150116,VRNS,40.23,6.09
20150116,WT,37.39,3.72
20150116,PGEN,37.37,8.2
20150116,ZUMZ,37.11,3.6
20150116,MANH,35.16,3.75
20150116,AEIS,34.71,3.68
20150116,TGTX,31.24,7.3
