Date,Count,Symbol,ATRP,ROC20_Rank,ROC20_Value,ROC65_Rank,ROC65_Value,ROC130_Rank,ROC130_Value
20091016,1,CBAT,9.51,1,44.55,,,35,173.75
20091016,2,TGNA,5.65,2,32.36,7,184.1,13,297.08
20091016,3,DBI,5,3,31.8,24,85.96,77,97.1
20091016,4,BC,6.48,4,30.57,6,185.68,24,232.55
20091016,5,RAIL,4.4,5,30.28,,,,
20091016,6,AXL,5.96,,,1,334.75,14,295.48
20091016,7,AIG,8.13,,,2,238.82,,
20091016,8,SANM,5.13,,,3,227.41,21,242.64
20091016,9,RDN,8.47,,,4,214.16,18,249.75
20091016,10,DAN,7.05,,,5,213.95,3,824.66
20091016,11,BZH,8.51,,,8,167.62,10,349.6
20091016,12,HIG,5.37,,,9,127.99,36,172.32
20091016,13,BCRX,6.5,,,10,122.99,6,437.71
20091016,14,MTW,5.02,,,11,111.38,45,151.56
20091016,15,BKD,4.66,,,12,109.19,29,200.61
20091016,16,BPOP,6.3,,,13,104.58,,
20091016,17,SLG,5.76,,,14,101.03,20,245.71
20091016,18,LPX,5.52,,,15,97.42,48,143.46
20091016,19,SITC,6.27,,,16,96.65,27,212.29
20091016,20,TXT,3.84,,,17,96.26,,
20091016,21,MED,5.62,,,18,94.31,9,378
20091016,22,PARA,4.45,,,19,93.92,43,152.86
20091016,23,CDE,5.65,,,20,93.57,72,104.17
20091016,24,LVS,6.77,,,21,93.23,26,227.18
20091016,25,TOVX,8.58,,,22,92.28,,
20091016,26,SKX,4.1,,,23,87.95,34,185.21
20091016,27,CAR,5.68,,,25,82.76,2,1127.37
20091016,28,VECO,4.7,,,26,81.33,22,241.41
20091016,29,TEX,4.94,,,27,81.25,82,93.55
20091016,30,JBL,3.71,,,28,80.24,53,126.34
20091016,31,MGM,6.39,,,29,79.36,,
20091016,32,WSM,3.53,,,30,78.95,92,85.59
20091016,33,THC,4.51,,,31,78.92,12,336.76
20091016,34,AMR,5.02,,,32,78.14,99,81.52
20091016,35,ZUMZ,4.56,,,33,77.05,,
20091016,36,GNW,6.2,,,34,76.3,5,450.49
20091016,37,LULU,4.1,,,35,76.24,69,105.81
20091016,38,URI,5.08,,,36,75.93,61,114.26
20091016,39,SM,3.99,,,37,74.09,60,116.82
20091016,40,MFIC,3.87,,,38,73.71,65,109.42
20091016,41,DDS,3.95,,,39,72.1,58,120.94
20091016,42,WGO,5.95,,,40,71.58,52,128.86
20091016,43,WYNN,5.27,,,41,71.56,75,98.73
20091016,44,WPM,5.25,,,42,71.28,,
20091016,45,TPX,5.05,,,43,70.55,40,157.41
20091016,46,M,3.79,,,44,68.11,,
20091016,47,MAC,5.62,,,45,67.46,41,156.35
20091016,48,ODP,5.05,,,46,67.34,11,345.24
20091016,49,R,3.75,,,47,67.29,95,84.38
20091016,50,BVN,4.13,,,48,66.82,,
20091016,51,THO,4.01,,,49,66.34,89,87.66
20091016,52,CLNE,4.47,,,50,65.04,79,95.77
20091016,53,LAMR,3.68,,,51,64.24,78,96.67
20091016,54,CENX,5.48,,,52,63.59,30,189.4
20091016,55,INCY,5.15,,,53,63.54,38,170.69
20091016,56,EQC,4.8,,,54,63.42,84,92.54
20091016,57,UIS,6.85,,,55,63.16,15,287.5
20091016,58,HUN,4.41,,,56,62.93,64,109.53
20091016,59,OC,4.09,,,57,62.46,54,124.75
20091016,60,LNC,4.62,,,58,62.19,33,185.24
20091016,61,CAL,5.44,,,59,59.74,,
20091016,62,MOD,6.8,,,60,58.29,28,204.78
20091016,63,WTI,5.29,,,61,57.99,76,98.32
20091016,64,FLEX,3.79,,,62,57.73,55,123.92
20091016,65,CBT,3.75,,,63,57.59,93,85.51
20091016,66,ENTG,6.26,,,64,57.01,16,284.33
20091016,67,HBI,3.9,,,65,56.99,96,83.07
20091016,68,GGB,3.69,,,66,56.27,47,143.69
20091016,69,CLF,4.48,,,67,56.24,68,106.61
20091016,70,LSAK,3.54,,,68,55.88,,
20091016,71,AGO,3.8,,,69,55.81,59,118.42
20091016,72,JLL,3.73,,,70,55.51,100,81.5
20091016,73,AROC,3.97,,,71,55.16,,
20091016,74,FANH,5.57,,,72,53.48,31,189.19
20091016,75,ALGN,3.64,,,73,53.09,,
20091016,76,B,3.73,,,74,52.95,,
20091016,77,UDR,3.74,,,75,52.92,,
20091016,78,CX,3.92,,,76,52.83,,
20091016,79,WBS,4.74,,,77,51.45,46,147.07
20091016,80,LYV,5.05,,,78,51.06,37,171.38
20091016,81,NYT,5.76,,,79,50.62,,
20091016,82,IP,4.13,,,80,49.7,23,234.72
20091016,83,OIS,3.59,,,81,49.56,51,134.14
20091016,84,CNX,4.16,,,82,48.42,,
20091016,85,DAL,4.81,,,83,47.55,,
20091016,86,MODG,4.12,,,84,47.08,,
20091016,87,HOG,3.97,,,85,46.94,,
20091016,88,PLD,5.43,,,86,46.73,,
20091016,89,CUBE,5.4,,,87,46.56,42,155.6
20091016,90,ZION,4.92,,,88,46.53,,
20091016,91,AMD,5.36,,,89,46.43,,
20091016,92,ASH,4,,,90,46.36,32,188.61
20091016,93,PFG,4.17,,,91,46.3,57,121.24
20091016,94,JEF,3.69,,,92,46.3,,
20091016,95,EPAC,3.86,,,93,45.71,,
20091016,96,HLX,4.45,,,94,44.95,81,94.25
20091016,97,NKTR,4.06,,,95,44.73,88,88.06
20091016,98,MWA,6.03,,,96,44.05,,
20091016,99,MAS,3.68,,,97,43.85,91,86.09
20091016,100,IAG,5.38,,,98,43.78,,
20091016,101,LAZ,4.2,,,99,43.76,,
20091016,102,KIM,4.78,,,100,43.2,,
20091016,103,VNDA,5.87,,,,,1,1205.49
20091016,104,LAD,6.54,,,,,4,491.13
20091016,105,SAH,6.18,,,,,7,433.62
20091016,106,NVAX,8.67,,,,,8,409.21
20091016,107,AIM,5.98,,,,,17,272.92
20091016,108,TX,4.23,,,,,19,246.92
20091016,109,MTG,7.72,,,,,25,227.55
20091016,110,SRPT,6.62,,,,,39,157.97
20091016,111,STX,3.92,,,,,44,152.4
20091016,112,BDN,4.76,,,,,49,141.75
20091016,113,CSIQ,5.03,,,,,50,134.68
20091016,114,ADEA,3.65,,,,,56,122.07
20091016,115,COF,3.97,,,,,62,112.95
20091016,116,GPI,4.68,,,,,63,112.77
20091016,117,CLS,3.86,,,,,66,107.52
20091016,118,NG,6.22,,,,,67,107.33
20091016,119,MEOH,3.6,,,,,70,105.13
20091016,120,HST,4.66,,,,,71,104.29
20091016,121,GT,3.86,,,,,73,102.79
20091016,122,DFS,4.05,,,,,74,99.21
20091016,123,PRU,3.66,,,,,80,95.42
20091016,124,TER,4.62,,,,,83,92.58
20091016,125,QDEL,3.98,,,,,85,89.44
20091016,126,AMKR,5.01,,,,,86,88.86
20091016,127,SCI,4.05,,,,,87,88.27
20091016,128,TK,3.59,,,,,90,87.1
20091016,129,MU,5.26,,,,,94,84.88
20091016,130,BYD,4.97,,,,,97,82.01
20091016,131,RMBS,4.67,,,,,98,81.52
20091023,1,APT,7.23,1,56.33,3,175.38,3,533.63
20091023,2,SKX,4.42,2,45.8,18,75.27,22,194.22
20091023,3,TGNA,5.44,3,40.94,8,132.21,11,332.5
20091023,4,NYT,6.14,4,38.05,26,65.23,43,117.41
20091023,5,NUS,3.75,5,33.09,85,35.22,93,77.69
20091023,6,MCO,4.26,6,32.79,,,,
20091023,7,AXL,6.73,,,1,504.42,6,394.93
20091023,8,AIG,6.63,,,2,207.27,,
20091023,9,DAN,6.03,,,4,149.47,2,754.88
20091023,10,SANM,4.71,,,5,143.36,24,186.46
20091023,11,BC,6.3,,,6,137.63,28,176.17
20091023,12,BPOP,5.18,,,7,135.78,,
20091023,13,RDN,9.2,,,9,131.95,17,224.74
20091023,14,WTFC,4.4,,,10,104.2,91,78.08
20091023,15,BZH,7.62,,,11,96.5,21,204.22
20091023,16,BKD,4.29,,,12,90.5,25,185.45
20091023,17,MTW,5.43,,,13,90.42,37,142.07
20091023,18,ALGN,4.07,,,14,87.1,92,77.71
20091023,19,SLG,4.98,,,15,82.07,34,148.28
20091023,20,HIG,5.5,,,16,80.11,33,155.17
20091023,21,SITC,5.5,,,17,76.78,20,205.5
20091023,22,VECO,4.73,,,19,72.7,13,296.89
20091023,23,CDE,5.48,,,20,71.35,42,118.4
20091023,24,THC,4.59,,,21,71.3,26,182.44
20091023,25,TXT,3.77,,,22,69.59,97,74.23
20091023,26,MAC,4.69,,,23,68.54,41,123.09
20091023,27,PARA,4.66,,,24,67.25,46,111.07
20091023,28,MED,5.33,,,25,67.17,10,338.46
20091023,29,DDS,4.06,,,27,64.86,48,109.85
20091023,30,TEX,5.35,,,28,64.67,66,95.7
20091023,31,LPX,5.63,,,29,63.32,67,94.65
20091023,32,LVS,6,,,30,62.66,16,228.23
20091023,33,DBI,5.2,,,31,62.5,50,108
20091023,34,URI,5.21,,,32,58.8,54,105.05
20091023,35,EQC,4.74,,,33,58.15,,
20091023,36,THO,3.88,,,34,57.91,94,77.53
20091023,37,CLNE,3.95,,,35,57.23,85,81.56
20091023,38,AMD,5.04,,,36,55.99,,
20091023,39,MGM,5.76,,,37,55.79,49,109.44
20091023,40,LAMR,3.72,,,38,55.22,80,84.7
20091023,41,CENX,5.63,,,39,53.8,19,207.14
20091023,42,PLD,5.29,,,40,52.25,,
20091023,43,WPM,4.72,,,41,51.97,71,91.74
20091023,44,MODG,4.51,,,42,51.46,,
20091023,45,UIS,6.78,,,43,51.45,61,98.48
20091023,46,RF,5.19,,,44,51.09,,
20091023,47,GNW,6.17,,,45,50.94,7,372.73
20091023,48,LULU,4.04,,,46,50,78,86.18
20091023,49,KIM,4.31,,,47,49.29,,
20091023,50,SM,4.04,,,48,49.05,56,102.05
20091023,51,ZION,5.05,,,49,48.46,,
20091023,52,BVN,4.35,,,50,48.18,86,81.4
20091023,53,HUN,4.41,,,51,47.94,45,112.59
20091023,54,ODP,5.35,,,52,47.37,15,251.76
20091023,55,COF,4.3,,,53,47.14,29,172.09
20091023,56,AMR,5.83,,,54,47.09,,
20091023,57,CBT,3.65,,,55,46.99,99,72.19
20091023,58,TPX,5.08,,,56,46.47,60,98.89
20091023,59,PNC,3.72,,,57,46.44,,
20091023,60,UDR,3.85,,,58,46.05,,
20091023,61,WSM,3.67,,,59,45.9,,
20091023,62,JLL,3.82,,,60,44.78,89,79.44
20091023,63,OIS,3.55,,,61,43.99,52,105.49
20091023,64,GGB,4.03,,,62,43.73,35,144.26
20091023,65,FANH,5.02,,,63,43.52,23,193.56
20091023,66,HBI,3.8,,,64,42.86,95,77.37
20091023,67,R,3.88,,,65,42.64,81,83.16
20091023,68,M,4.04,,,66,42.09,,
20091023,69,CMA,3.71,,,67,41.04,,
20091023,70,EWBC,5.65,,,68,40.62,,
20091023,71,WYNN,5,,,69,39.83,63,97.72
20091023,72,CNX,4.32,,,70,39.75,79,85.71
20091023,73,CLF,4.77,,,71,39.39,76,87.65
20091023,74,WGO,5.89,,,72,39.27,73,90.82
20091023,75,MOD,6.16,,,73,39.16,31,167.53
20091023,76,LNC,4.84,,,74,39.16,38,140.62
20091023,77,WTI,5.16,,,75,38.92,,
20091023,78,MWA,5.84,,,76,38.17,,
20091023,79,AROC,3.92,,,77,38.04,,
20091023,80,HLX,4.76,,,78,37.17,72,91.67
20091023,81,BDN,4.42,,,79,37.09,44,115.27
20091023,82,FULT,4.33,,,80,36.42,,
20091023,83,BX,3.63,,,81,36.38,51,106.8
20091023,84,CAL,5.78,,,82,36.15,,
20091023,85,FCX,3.59,,,83,36.11,58,99.75
20091023,86,DAL,4.79,,,84,35.97,,
20091023,87,STX,3.97,,,86,34.91,39,135.83
20091023,88,CUBE,4.99,,,87,34.9,75,88.06
20091023,89,TTI,5.35,,,88,34.76,65,95.97
20091023,90,CAR,5.98,,,89,34.68,4,445.79
20091023,91,OC,4.41,,,90,34.45,,
20091023,92,LSAK,3.88,,,91,33.33,,
20091023,93,EPAC,3.94,,,92,32.69,,
20091023,94,B,3.84,,,93,31.95,,
20091023,95,WBS,5.25,,,94,31.86,40,128.1
20091023,96,TTWO,3.94,,,95,31.63,,
20091023,97,ASH,3.93,,,96,31.13,36,144.02
20091023,98,FLEX,3.87,,,97,30.94,68,93.62
20091023,99,IP,3.99,,,98,30.6,30,170.12
20091023,100,SKYW,4.77,,,99,30.36,,
20091023,101,VNDA,5.61,,,,,1,852.73
20091023,102,BCRX,6.42,,,,,5,422.16
20091023,103,NVAX,8.37,,,,,8,364.37
20091023,104,LAD,6.34,,,,,9,343.77
20091023,105,SAH,5.76,,,,,12,320.74
20091023,106,AIM,5.83,,,,,14,256.25
20091023,107,TX,4.32,,,,,18,223.48
20091023,108,CSIQ,4.35,,,,,27,180.21
20091023,109,INCY,5.11,,,,,32,161.86
20091023,110,ADEA,4.04,,,,,47,110.5
20091023,111,MTG,8.2,,,,,53,105.2
20091023,112,HNI,3.56,,,,,55,102.55
20091023,113,PFG,4.34,,,,,57,101.5
20091023,114,TER,4.49,,,,,59,99.39
20091023,115,AGO,4.03,,,,,62,98.15
20091023,116,BYD,4.61,,,,,64,96.58
20091023,117,LYV,5.46,,,,,69,93.19
20091023,118,PRU,3.77,,,,,70,92.83
20091023,119,GPI,4.96,,,,,74,90.38
20091023,120,GT,3.72,,,,,77,87.24
20091023,121,DFS,4.53,,,,,82,82.62
20091023,122,RMBS,4.92,,,,,83,81.92
20091023,123,VIV,3.51,,,,,84,81.82
20091023,124,IAG,5.22,,,,,87,80.47
20091023,125,WWD,3.76,,,,,88,79.92
20091023,126,BDC,3.61,,,,,90,78.31
20091023,127,CLS,4.07,,,,,96,77.18
20091023,128,TK,3.77,,,,,98,72.87
20091023,129,AMKR,4.96,,,,,100,72
20091030,1,AXL,8.85,,,1,244.25,3,465.09
20091030,2,AIG,6.62,,,2,156.05,,
20091030,3,APT,7.69,,,3,111.66,10,244.25
20091030,4,DAN,6.63,,,4,84.36,2,720.29
20091030,5,SANM,5.38,,,5,81.36,34,114
20091030,6,RDN,9.73,,,6,67.83,9,244.64
20091030,7,UIS,7.12,,,7,66.51,16,167.34
20091030,8,MATV,3.69,,,8,65.94,26,127.29
20091030,9,AWI,3.7,,,9,58.31,42,97.19
20091030,10,MAC,4.45,,,10,57.07,37,105.48
20091030,11,SKX,5.13,,,11,55.67,22,135.28
20091030,12,SITC,5.19,,,12,55.62,23,132.79
20091030,13,BKD,4.55,,,13,54.07,45,94.46
20091030,14,MTW,6.38,,,14,53.33,54,81.18
20091030,15,CDE,5.8,,,15,52.7,87,59.37
20091030,16,SLG,4.99,,,16,52.07,36,109.52
20091030,17,EQC,4.21,,,17,50.54,73,66.59
20091030,18,GNW,6.68,,,18,49.37,4,389.4
20091030,19,JBL,3.69,,,19,48.34,55,79.12
20091030,20,MED,5.86,,,20,47.88,6,289.73
20091030,21,TGNA,6.13,,,21,47.28,14,187.15
20091030,22,PARA,5.55,,,22,47.01,38,100.78
20091030,23,LULU,4.4,,,23,46.05,65,73.96
20091030,24,BC,6.8,,,24,44.51,48,89.22
20091030,25,HIG,4.9,,,25,44.32,19,151.49
20091030,26,SM,4.53,,,26,43.04,39,98.72
20091030,27,ALGN,4.02,,,27,41.62,,
20091030,28,WPM,5.38,,,28,40.7,79,62.29
20091030,29,DBI,5.32,,,29,40.09,47,91.05
20091030,30,BZH,8.15,,,30,38.49,94,57.91
20091030,31,BBWI,4.05,,,31,38.02,83,61.7
20091030,32,RCL,3.9,,,32,37.99,81,61.84
20091030,33,PNC,3.88,,,33,37.67,,
20091030,34,TEX,5.76,,,34,35.98,75,63.86
20091030,35,LVS,6.81,,,35,35.34,31,116.19
20091030,36,UDR,3.61,,,36,34.77,,
20091030,37,BVN,5.16,,,37,34.17,,
20091030,38,ODP,6.41,,,38,34.15,32,114.54
20091030,39,TXT,4.41,,,39,33.58,91,58.75
20091030,40,URBN,3.58,,,40,33.42,53,82.87
20091030,41,URI,5.66,,,41,33.29,,
20091030,42,AKAM,3.75,,,42,33.25,,
20091030,43,WSM,3.66,,,43,33,,
20091030,44,HLX,4.9,,,44,32.91,98,56.2
20091030,45,OIS,4.18,,,45,32.79,49,86.89
20091030,46,DECK,3.89,,,46,32.73,97,56.74
20091030,47,HAL,3.72,,,47,32.65,,
20091030,48,CLF,5.2,,,48,32.38,60,76
20091030,49,KIM,4.46,,,49,32.08,,
20091030,50,MOD,6.24,,,50,31.88,11,217.9
20091030,51,HUN,5.09,,,51,31.84,76,63.24
20091030,52,GGB,4.65,,,52,30.64,28,126.04
20091030,53,VNDA,5.45,,,,,1,940.82
20091030,54,CAR,6.51,,,,,5,317.91
20091030,55,CLW,6.18,,,,,7,283.08
20091030,56,VECO,5,,,,,8,269.5
20091030,57,TX,4.57,,,,,12,210.25
20091030,58,LAD,7.69,,,,,13,196.8
20091030,59,INCY,5.44,,,,,15,167.73
20091030,60,CSIQ,5.17,,,,,17,163.18
20091030,61,FANH,5.38,,,,,18,163.12
20091030,62,CENX,6.37,,,,,20,146.31
20091030,63,LNC,5.06,,,,,21,144.41
20091030,64,THC,5.15,,,,,24,130.63
20091030,65,SAH,6.92,,,,,25,128.06
20091030,66,COF,4.47,,,,,27,126.21
20091030,67,WBS,5.75,,,,,29,124.4
20091030,68,EXPE,4.11,,,,,30,120.1
20091030,69,IP,4.31,,,,,33,114.4
20091030,70,BCRX,7.04,,,,,35,113.64
20091030,71,STX,4.19,,,,,40,98.72
20091030,72,AES,3.58,,,,,41,98.63
20091030,73,DDS,4.17,,,,,43,96.54
20091030,74,AIM,6.67,,,,,44,95.71
20091030,75,FCX,3.86,,,,,46,91.64
20091030,76,ASH,4.79,,,,,50,86.12
20091030,77,AGO,4.17,,,,,51,85.04
20091030,78,WTFC,4.95,,,,,52,82.94
20091030,79,BAC,3.65,,,,,56,78.9
20091030,80,BDN,4.55,,,,,57,77.04
20091030,81,PFG,4.29,,,,,58,76.59
20091030,82,AB,4,,,,,59,76.22
20091030,83,LYV,5.58,,,,,61,75.73
20091030,84,EWBC,5.63,,,,,62,75.68
20091030,85,HNI,3.5,,,,,63,75.12
20091030,86,PRU,3.89,,,,,64,74.63
20091030,87,MEOH,3.55,,,,,66,73.76
20091030,88,TTI,5.64,,,,,67,72.94
20091030,89,NUS,3.9,,,,,68,71.64
20091030,90,BIDU,3.68,,,,,69,70.84
20091030,91,BBD,3.87,,,,,70,69.98
20091030,92,DFS,4.44,,,,,71,69.75
20091030,93,BRKR,3.64,,,,,72,68.06
20091030,94,LAMR,4.25,,,,,74,65.53
20091030,95,TER,4.74,,,,,77,63.16
20091030,96,ADEA,4.67,,,,,78,62.5
20091030,97,FOX,3.53,,,,,80,61.86
20091030,98,CVLT,3.56,,,,,82,61.74
20091030,99,BX,4.77,,,,,84,61.69
20091030,100,R,4.08,,,,,85,60.02
20091030,101,MGM,6.74,,,,,86,59.83
20091030,102,NYT,6.74,,,,,88,59.08
20091030,103,WGO,5.99,,,,,89,59.06
20091030,104,IAG,5.39,,,,,90,59.01
20091030,105,PEGA,3.59,,,,,92,58.28
20091030,106,ICLR,4.1,,,,,93,58.03
20091030,107,FMX,3.55,,,,,95,57.89
20091030,108,ASRT,8.02,,,,,96,57.07
20091030,109,ALK,4.23,,,,,99,55.69
20091030,110,IVZ,3.74,,,,,100,55.51
20091106,1,AXL,9.48,,,1,122.22,2,579.61
20091106,2,MED,6.11,,,2,94.8,5,275.11
20091106,3,SANM,6.14,,,3,87.21,15,127.78
20091106,4,APT,6.87,,,4,78.86,4,302.44
20091106,5,AWI,4.28,,,5,70.42,17,120.47
20091106,6,PODD,6.89,,,6,69.14,24,99.34
20091106,7,ALGN,3.86,,,7,68.06,,
20091106,8,DBI,5.52,,,8,65.64,47,69.5
20091106,9,DAN,7.57,,,9,65.5,3,350.34
20091106,10,MTW,6.63,,,10,62.93,81,48.53
20091106,11,SKX,4.78,,,11,61.7,25,95.88
20091106,12,HL,6.83,,,12,58.13,36,81.66
20091106,13,AIG,7.53,,,13,57.48,,
20091106,14,JBL,3.68,,,14,50.26,52,67.53
20091106,15,MATV,4.64,,,15,49.8,13,162.81
20091106,16,PARA,6,,,16,49,42,73.56
20091106,17,UIS,7.15,,,17,47.57,23,101.23
20091106,18,TGNA,6.56,,,18,43.86,20,112.74
20091106,19,IAG,6.06,,,19,43.76,27,93.19
20091106,20,LAMR,4.84,,,20,42.36,56,63.77
20091106,21,WPM,5.65,,,21,42,57,63.33
20091106,22,NUS,3.65,,,22,41.72,38,78.83
20091106,23,DECK,4.08,,,23,41.57,77,52.11
20091106,24,HAL,3.88,,,24,41.5,,
20091106,25,TPX,5.14,,,25,40.54,79,51.16
20091106,26,LULU,4.69,,,26,39.44,44,72.53
20091106,27,CDE,6.29,,,27,38.15,,
20091106,28,LVS,6.99,,,28,37.92,,
20091106,29,BC,7.4,,,29,37.36,99,43.12
20091106,30,BVN,5.52,,,30,37.02,61,60.43
20091106,31,RCL,4.38,,,31,36.97,,
20091106,32,TXT,4.59,,,32,36.32,43,72.74
20091106,33,AMD,5.2,,,33,35.85,,
20091106,34,HIG,5.83,,,34,35.34,30,88.5
20091106,35,BZH,9.13,,,35,35.05,,
20091106,36,MELI,4.29,,,36,34.54,58,60.74
20091106,37,BKD,5.2,,,37,34.47,53,65.12
20091106,38,GGB,5.07,,,38,34.03,28,92.46
20091106,39,INCY,6.34,,,39,34.01,9,197.13
20091106,40,NG,7.39,,,40,33.85,35,83.69
20091106,41,CLF,5.47,,,41,33.16,,
20091106,42,GES,3.61,,,42,31.8,,
20091106,43,FLEX,4.71,,,43,31.08,50,68.71
20091106,44,VNDA,5.79,,,,,1,857.8
20091106,45,BCRX,8.21,,,,,6,249.23
20091106,46,GNW,8.08,,,,,7,225.46
20091106,47,VECO,5.26,,,,,8,205.67
20091106,48,CAR,7.41,,,,,10,194.46
20091106,49,TX,5.15,,,,,11,191.41
20091106,50,FANH,5.43,,,,,12,168.17
20091106,51,CLW,6.28,,,,,14,153.54
20091106,52,RDN,11.99,,,,,16,123.27
20091106,53,MOD,6.51,,,,,18,119.61
20091106,54,ODP,6.5,,,,,19,113.12
20091106,55,LNC,5.78,,,,,21,102.82
20091106,56,THC,5.29,,,,,22,102.78
20091106,57,COF,4.56,,,,,26,93.48
20091106,58,SLG,5.03,,,,,29,89.04
20091106,59,CSIQ,6.08,,,,,31,86.86
20091106,60,MAC,4.69,,,,,32,85.21
20091106,61,HNI,4.22,,,,,33,84.4
20091106,62,LAD,7.83,,,,,34,83.86
20091106,63,STX,4.13,,,,,37,80.97
20091106,64,SITC,5.53,,,,,39,78.56
20091106,65,WBS,6.36,,,,,40,77.69
20091106,66,IP,4.46,,,,,41,76.64
20091106,67,OIS,4.6,,,,,45,72.04
20091106,68,AES,3.89,,,,,46,70.68
20091106,69,BDN,4.63,,,,,48,69.29
20091106,70,VIV,4.58,,,,,49,68.93
20091106,71,SM,4.51,,,,,51,67.67
20091106,72,BIDU,3.75,,,,,54,64.01
20091106,73,URI,5.84,,,,,55,63.85
20091106,74,CI,4.01,,,,,59,60.58
20091106,75,NKTR,4.82,,,,,60,60.58
20091106,76,SCI,4.14,,,,,62,60.3
20091106,77,CNA,4.01,,,,,63,60.06
20091106,78,ICLR,3.76,,,,,64,60
20091106,79,KFY,4.14,,,,,65,59.94
20091106,80,DFS,4.22,,,,,66,59.5
20091106,81,FCX,4.02,,,,,67,59.12
20091106,82,DDS,4.4,,,,,68,58.79
20091106,83,EQC,4.33,,,,,69,55.78
20091106,84,IMAX,4.58,,,,,70,55.51
20091106,85,KMX,3.7,,,,,71,54.88
20091106,86,GOLD,4.02,,,,,72,54.68
20091106,87,URBN,3.75,,,,,73,54.06
20091106,88,AGO,4.51,,,,,74,53.52
20091106,89,GIL,3.9,,,,,75,53.29
20091106,90,BBD,3.88,,,,,76,52.9
20091106,91,LINC,4.33,,,,,78,51.76
20091106,92,EXPE,4.54,,,,,80,48.61
20091106,93,WHR,3.65,,,,,82,48
20091106,94,ANDE,4.2,,,,,83,47.7
20091106,95,WTFC,5.25,,,,,84,47.39
20091106,96,ALK,4.3,,,,,85,47.11
20091106,97,EGO,4.68,,,,,86,47.02
20091106,98,HBI,4.21,,,,,87,46.95
20091106,99,HLX,5.37,,,,,88,46.93
20091106,100,NDSN,3.68,,,,,89,46.9
20091106,101,ELP,3.9,,,,,90,46.65
20091106,102,PRU,4.37,,,,,91,46.39
20091106,103,CAT,3.55,,,,,92,46.16
20091106,104,FMX,3.52,,,,,93,45.91
20091106,105,TT,3.63,,,,,94,45.67
20091106,106,WGO,6.54,,,,,95,43.88
20091106,107,BHE,3.76,,,,,96,43.57
20091106,108,FLS,3.55,,,,,97,43.28
20091106,109,MSCI,3.76,,,,,98,43.24
20091106,110,BBWI,3.84,,,,,100,43
20091113,1,EWBC,7.22,1,49.17,,,97,53.94
20091113,2,BCRX,8.31,2,30.71,,,1,371.26
20091113,3,AXL,9.52,,,1,114.94,9,180.51
20091113,4,SANM,6.36,,,2,80.65,18,118.75
20091113,5,AMD,5.44,,,3,77.45,,
20091113,6,BPOP,7.06,,,4,68.84,,
20091113,7,MED,6.05,,,5,67.82,3,290.92
20091113,8,HL,7.04,,,6,59.88,75,60.36
20091113,9,SKX,4.71,,,7,58.4,12,139.27
20091113,10,AWI,4.59,,,8,55.48,11,146.02
20091113,11,APT,6.98,,,9,54.39,4,253.9
20091113,12,DAN,8.11,,,10,53.46,2,300.56
20091113,13,MTW,6.69,,,11,53.14,46,73.31
20091113,14,ALGN,4.09,,,12,52.02,,
20091113,15,DBI,4.92,,,13,51.6,72,61.99
20091113,16,WPM,5.67,,,14,51.09,69,63.09
20091113,17,IAG,6.39,,,15,50.61,34,81.66
20091113,18,UIS,7,,,16,49.27,13,134.57
20091113,19,AIG,7.39,,,17,45.44,,
20091113,20,JBL,3.6,,,18,43.94,28,86.12
20091113,21,CLF,5.26,,,19,41.39,,
20091113,22,BVN,5.74,,,20,40.47,,
20091113,23,NUS,3.9,,,21,39.28,30,84.66
20091113,24,CDE,6.71,,,22,37.04,,
20091113,25,MELI,4.59,,,23,36.99,42,75.78
20091113,26,DECK,4.08,,,24,36.71,39,76.73
20091113,27,DRQ,3.8,,,25,35.5,,
20091113,28,GOLD,4,,,26,34.24,,
20091113,29,AKAM,3.5,,,27,34.23,,
20091113,30,NG,7.05,,,28,34.1,,
20091113,31,BKNG,3.83,,,29,34.07,27,86.59
20091113,32,TXT,4.58,,,30,33.94,47,73.16
20091113,33,TGNA,6.64,,,31,33.49,17,119.38
20091113,34,STX,3.91,,,32,33.44,14,127.79
20091113,35,LVS,6.65,,,33,33.26,56,69.49
20091113,36,INCY,6.5,,,34,32.87,10,163.92
20091113,37,MATV,5,,,35,32.71,7,184.52
20091113,38,LULU,4.87,,,36,32.55,19,115.92
20091113,39,TPX,5.18,,,37,32.3,50,72.39
20091113,40,PODD,7.02,,,38,32.28,66,64.25
20091113,41,TEX,5.97,,,39,32.16,,
20091113,42,GES,3.86,,,40,32.09,68,63.19
20091113,43,PLD,5.82,,,41,31.4,67,63.86
20091113,44,BZH,9.77,,,42,30.71,25,89.97
20091113,45,CCI,3.64,,,43,30.45,77,59.61
20091113,46,LAMR,4.85,,,44,30.38,,
20091113,47,GGB,5.07,,,45,30.33,26,86.81
20091113,48,VECO,5.83,,,,,5,207.46
20091113,49,FANH,5.63,,,,,6,185.41
20091113,50,CAR,8.31,,,,,8,182.7
20091113,51,CSIQ,6.1,,,,,15,124.18
20091113,52,THC,5.52,,,,,16,123.29
20091113,53,GNW,7.67,,,,,20,115.08
20091113,54,CLW,6.05,,,,,21,114.9
20091113,55,FLEX,4.36,,,,,22,102.27
20091113,56,BC,6.98,,,,,23,98.46
20091113,57,TX,5.2,,,,,24,96.72
20091113,58,SITC,5.97,,,,,29,84.72
