Index,Symbol,Direction,Entry Price,Entry Date/Time (E),Exit Date/Time (E),Status,Current Price,Exit Price,Entry Qty,Qty,SL,TP,Exit Qty,Change,Change %,Ticks/Pips,Account PnL,PnL,PnL %,MFE,MAE
133,OUST,Long,10.24,5/9/2024 13:05,5/23/2024 9:32,Closed,0,11.93,653,0,0,0,653,1.31,12.79,131,1106.45,1106.45,16.55,3.93,0
134,GME,Long,17.6,5/9/2024 15:37,5/20/2024 9:32,Closed,0,23.93,381,0,0,0,381,3.94,22.39,394,2413.14,2413.14,35.99,47.23,-0.72
135,SMR,Long,6.4,5/10/2024 9:40,5/17/2024 9:32,Closed,0,7.03,1059,0,0,0,1059,-0.14,-2.19,-14,662.64,662.64,9.78,1.41,-0.54
136,WGS,Long,22.29,5/13/2024 9:36,5/22/2024 9:31,Closed,0,20.51,310,0,0,0,310,-1.78,-7.99,-178,-551.8,-551.8,-7.99,2.11,-1.78
137,TWST,Long,44.23,5/13/2024 9:39,5/21/2024 9:32,Closed,0,44.69,157,0,0,0,157,0.46,1.04,46,72.22,72.22,1.04,6.27,-0.69
138,MRNA,Long,125.57,5/13/2024 13:13,6/3/2024 9:32,Closed,0,141.15,55,0,0,0,55,12.95,10.31,1295,856.73,856.73,12.4,44.9,-0.94
139,RNA,Long,27.59,5/14/2024 9:35,5/24/2024 9:32,Closed,0,27.5,265,0,0,0,265,-0.09,-0.33,-9,-23.85,-23.85,-0.33,3.25,-0.75
140,ACB,Long,7.16,5/14/2024 9:38,5/15/2024 10:27,Closed,0,6.85,1014,0,0,0,1014,-0.31,-4.33,-31,-314.34,-314.34,-4.33,0.3,-0.31
141,STOK,Long,12.32,5/14/2024 9:41,5/14/2024 10:06,Closed,0,11.75,593,0,0,0,593,-0.57,-4.63,-57,-338.01,-338.01,-4.63,0.32,-0.57
142,PI,Long,164.84,5/14/2024 12:46,5/24/2024 9:35,Closed,0,169.7,44,0,0,0,44,4.86,2.95,486,213.84,213.84,2.95,10.57,-3.15
143,STOK,Long,12.26,5/14/2024 14:46,5/29/2024 9:35,Closed,0,14.26,590,0,0,0,590,1.57,12.81,157,1182.95,1182.95,16.35,4.4,0
144,BMA,Long,64.96,5/15/2024 9:43,5/20/2024 9:57,Closed,0,63.9,112,0,0,0,112,-1.06,-1.63,-106,-118.72,-118.72,-1.63,2.47,-1.06
145,TNDM,Long,45.49,5/15/2024 10:42,6/5/2024 9:32,Closed,0,52.23,159,0,0,0,159,5.86,12.88,586,1071.74,1071.74,14.82,8.2,-0.32
146,JMIA,Long,6.56,5/15/2024 14:30,5/21/2024 9:50,Closed,0,5.89,1115,0,0,0,1115,-0.67,-10.21,-67,-747.05,-747.05,-10.21,0.87,-0.67
147,CGC,Long,10.38,5/16/2024 9:38,5/16/2024 12:29,Closed,0,9.84,702,0,0,0,702,-0.54,-5.2,-54,-379.08,-379.08,-5.2,0.65,-0.54
